Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
অনুক্রম ও শ্রেণী ধারণা,1,"2, 5, 8, 11,... অনুক্রমের পরবর্তী পদ কত?",14,15,16,17,A,"সমান্তর অনুক্রম, সাধারণ অন্তর 3",1
অনুক্রম ও শ্রেণী ধারণা,2,"3, 6, 12, 24,... গুণোত্তর অনুক্রমের সাধারণ অনুপাত কত?",2,3,4,5,A,6/3 = 2,1
অনুক্রম ও শ্রেণী ধারণা,3,1+2+3+...+10 এর যোগফল কত?,55,50,45,40,A,যোগফল = n(n+1)/2 = 55,1
অনুক্রম ও শ্রেণী ধারণা,4,"5, 10, 15, 20,... সমান্তর ধারার সাধারণ অন্তর কত?",5,10,15,20,A,10-5 = 5,1
অনুক্রম ও শ্রেণী ধারণা,5,"2, 4, 8, 16,... অনুক্রমের পরবর্তী পদ কত?",32,64,128,256,A,"গুণোত্তর অনুক্রম, অনুপাত 2",1
অনুক্রম ও শ্রেণী ধারণা,6,"7, 12, 17, 22,... সমান্তর ধারার 10ম পদ কত?",52,50,48,46,A,aₙ = a₁ + (n-1)d = 7 + 9×5 = 52,2
অনুক্রম ও শ্রেণী ধারণা,7,1+3+5+...+19 এর যোগফল কত?,100,81,121,64,A,"n² যোগফল, 10টি বিজোড় সংখ্যা",2
অনুক্রম ও শ্রেণী ধারণা,8,"3, 9, 27, 81,... গুণোত্তর ধারার 6ষ্ঠ পদ কত?",243,729,2187,6561,B,aₙ = arⁿ⁻¹ = 3×3⁵ = 729,2
অনুক্রম ও শ্রেণী ধারণা,9,2+4+6+...+20 এর যোগফল কত?,110,120,130,140,A,যোগফল = n(n+1) = 110,2
অনুক্রম ও শ্রেণী ধারণা,10,"1, 4, 9, 16,... অনুক্রমের পরবর্তী পদ কত?",25,36,49,64,A,বর্গ সংখ্যার অনুক্রম,2
অনুক্রম ও শ্রেণী ধারণা,11,"5, 9, 13, 17,... ধারাটির প্রথম 15 পদের যোগফল কত?",465,470,475,480,A,Sₙ = n/2[2a+(n-1)d] = 465,3
অনুক্রম ও শ্রেণী ধারণা,12,1/2 + 1/4 + 1/8 + 1/16 + ... ধারাটির অসীম যোগফল কত?,1,2,0.5,1.5,A,S = a/(1-r) = 1,3
অনুক্রম ও শ্রেণী ধারণা,13,"2, 6, 18, 54,... গুণোত্তর ধারার 8ম পদ কত?",4374,13122,39366,118098,A,a₈ = 2×3⁷ = 4374,3
অনুক্রম ও শ্রেণী ধারণা,14,1² + 2² + 3² + ... + 10² এর যোগফল কত?,385,325,285,255,A,যোগফল = n(n+1)(2n+1)/6 = 385,3
অনুক্রম ও শ্রেণী ধারণা,15,1 + 1/3 + 1/9 + 1/27 + ... ধারাটির প্রথম 5 পদের যোগফল কত?,123/81,122/81,121/81,124/81,C,S₅ = (1-(1/3)⁵)/(1-1/3) = 121/81,3
অনুক্রম ও শ্রেণী ধারণা,16,"একটি সমান্তর ধারার প্রথম পদ 3 এবং সাধারণ অন্তর 4 হলে, 12তম পদ কত?",49,48,47,50,C,a₁₂ = 3 + 11×4 = 47,4
অনুক্রম ও শ্রেণী ধারণা,17,1×2 + 2×3 + 3×4 + ... + 10×11 এর যোগফল কত?,460,450,440,470,C,যোগফল = n(n+1)(n+2)/3 = 440,4
অনুক্রম ও শ্রেণী ধারণা,18,"একটি গুণোত্তর ধারার প্রথম পদ 2 এবং সাধারণ অনুপাত 3 হলে, প্রথম 6 পদের যোগফল কত?",1456,729,728,1458,C,S₆ = 2(3⁶-1)/(3-1) = 728,4
অনুক্রম ও শ্রেণী ধারণা,19,1 - 1/2 + 1/3 - 1/4 + ... ধারাটির প্রথম 4 পদের যোগফল কত?,13/12,5/12,7/12,11/12,C,যোগফল = 1 - 1/2 + 1/3 - 1/4 = 7/12,4
অনুক্রম ও শ্রেণী ধারণা,20,1 + 3 + 6 + 10 + ... (ত্রিভুজ সংখ্যা) ধারাটির প্রথম 7 পদের যোগফল কত?,98,91,84,105,C,যোগফল = n(n+1)(n+2)/6 = 84,4
অনুক্রম ও শ্রেণী ধারণা,21,"একটি সমান্তর ধারার 5ম পদ 17 এবং 9ম পদ 29 হলে, সাধারণ অন্তর কত?",5,4,3,6,C,4d = 29-17 ⇒ d=3,5
অনুক্রম ও শ্রেণী ধারণা,22,1³ + 2³ + 3³ + ... + 8³ এর যোগফল কত?,3025,2025,1296,4096,C,যোগফল = [n(n+1)/2]² = 1296,5
অনুক্রম ও শ্রেণী ধারণা,23,"একটি গুণোত্তর ধারার প্রথম পদ 5 এবং অসীম যোগফল 10 হলে, সাধারণ অনুপাত কত?",1/4,1/3,1/2,1/5,C,5/(1-r)=10 ⇒ r=1/2,5
অনুক্রম ও শ্রেণী ধারণা,24,"একটি সমান্তর ধারার প্রথম 20 পদের যোগফল 420 এবং প্রথম পদ 3 হলে, শেষ পদ কত?",41,40,39,42,C,S = n/2(a+l) ⇒ 420=10(3+l) ⇒ l=39,5
অনুক্রম ও শ্রেণী ধারণা,25,2 + 4 + 8 + 16 + ... ধারাটির প্রথম 8 পদের যোগফল কত?,510,512,514,516,A,S₈ = 2(2⁸-1)/(2-1) = 510,5
অনুক্রম ও শ্রেণী ধারণা,26,"একটি সমান্তর ধারার 7ম পদ 20 এবং 13তম পদ 38 হলে, প্রথম পদ কত?",2,3,4,5,A,"a+6d=20, a+12d=38 ⇒ a=2",6
অনুক্রম ও শ্রেণী ধারণা,27,1×2 + 2×3 + 3×4 + ... + 10×11 এর যোগফল কত?,440,450,460,470,A,যোগফল = n(n+1)(n+2)/3 = 440,6
অনুক্রম ও শ্রেণী ধারণা,28,"একটি গুণোত্তর ধারার প্রথম তিন পদের যোগফল 21 এবং তাদের বর্গের যোগফল 189 হলে, সাধারণ অনুপাত কত?",2,3,4,5,A,"ধারা: 3, 6, 12 ⇒ r=2",6
অনুক্রম ও শ্রেণী ধারণা,29,"একটি সমান্তর ধারার প্রথম n পদের যোগফল 3n² + 5n হলে, সাধারণ অন্তর কত?",6,5,4,3,A,d = দ্বিতীয় পদ - প্রথম পদ = (S₂-S₁)-(S₁-S₀)=16-8=8,6
অনুক্রম ও শ্রেণী ধারণা,30,"1 + x + x² + x³ + ... অসীম ধারাটির যোগফল 4 হলে, x এর মান কত?",3/4,2/3,1/2,1/3,A,1/(1-x)=4 ⇒ x=3/4,6
অনুক্রম ও শ্রেণী ধারণা,31,1² + 3² + 5² + ... + 19² এর যোগফল কত?,1330,1425,1520,1615,A,যোগফল = n(2n+1)(2n-1)/3 = 1330,7
অনুক্রম ও শ্রেণী ধারণা,32,1 + (1+3) + (1+3+5) + ... ধারাটির প্রথম 7 পদের যোগফল কত?,140,133,126,119,A,যোগফল = Σn² = n(n+1)(2n+1)/6 = 140,7
অনুক্রম ও শ্রেণী ধারণা,33,1×2×3 + 2×3×4 + 3×4×5 + ... ধারাটির প্রথম 10 পদের যোগফল কত?,4290,5280,6270,7260,A,যোগফল = n(n+1)(n+2)(n+3)/4 = 4290,7
অনুক্রম ও শ্রেণী ধারণা,34,1 + 1/3 + 1/7 + 1/15 + ... ধারাটির প্রথম 5 পদের যোগফল কত?,57/35,58/35,59/35,60/35,A,যোগফল = (2²+2³+2⁴+2⁵+2⁶)-5 = 57/35,7
অনুক্রম ও শ্রেণী ধারণা,35,1 - 1/2 + 1/3 - 1/4 + ... ধারাটির প্রথম 100 পদের যোগফল ln(2) এর কতটা কাছাকাছি?,0.01 এর মধ্যে,0.001 এর মধ্যে,0.0001 এর মধ্যে,0.00001 এর মধ্যে,A,এই ধারাটি ধীরে অভিসারী,7
অনুক্রম ও শ্রেণী ধারণা,36,1 + 1/2² + 1/3² + 1/4² + ... ধারাটির প্রথম 10 পদের যোগফল কত?,1.549767,1.644934,1.732967,1.821456,A,প্রথম 10টি পদের যোগফল ≈ 1.549767,8
অনুক্রম ও শ্রেণী ধারণা,37,1 - 1/2² + 1/3² - 1/4² + ... ধারাটির প্রথম 10 পদের যোগফল কত?,0.822467,0.901542,0.947032,0.982102,A,প্রথম 10টি পদের যোগফল ≈ 0.822467,8
অনুক্রম ও শ্রেণী ধারণা,38,1 + 1/2⁴ + 1/3⁴ + 1/4⁴ + ... ধারাটির যোগফল কত?,π⁴/90,π⁴/45,π⁴/30,π⁴/15,A,এই ধারাটির যোগফল π⁴/90,8
অনুক্রম ও শ্রেণী ধারণা,39,1 - 1/2⁴ + 1/3⁴ - 1/4⁴ + ... ধারাটির যোগফল কত?,7π⁴/720,π⁴/90,π⁴/45,π⁴/30,A,এই ধারাটির যোগফল 7π⁴/720,8
অনুক্রম ও শ্রেণী ধারণা,40,1 + 1/3⁴ + 1/5⁴ + 1/7⁴ + ... ধারাটির যোগফল কত?,π⁴/30,π⁴/90,π⁴/45,π⁴/96,D,এই ধারাটির যোগফল π⁴/96,8
অনুক্রম ও শ্রেণী ধারণা,41,1 + 1/1! + 1/2! + 1/3! + ... ধারাটির যোগফল কত?,π,e²,ln2,e,D,এই ধারাটি e এর সংজ্ঞা,9
অনুক্রম ও শ্রেণী ধারণা,42,1 - 1/1! + 1/2! - 1/3! + ... ধারাটির যোগফল কত?,ln2,e,e²,1/e,D,এই ধারাটি 1/e এর মান দেয়,9
অনুক্রম ও শ্রেণী ধারণা,43,1 + x + x²/2! + x³/3! + ... ধারাটির যোগফল কত?,cosx,ln(1+x),sinx,eˣ,D,এই ধারাটি eˣ এর টেলর সিরিজ,9
অনুক্রম ও শ্রেণী ধারণা,44,x - x³/3! + x⁵/5! - x⁷/7! + ... ধারাটির যোগফল কত?,cotx,cosx,tanx,sinx,D,এই ধারাটি sinx এর টেলর সিরিজ,9
অনুক্রম ও শ্রেণী ধারণা,45,1 - x²/2! + x⁴/4! - x⁶/6! + ... ধারাটির যোগফল কত?,cotx,sinx,tanx,cosx,D,এই ধারাটি cosx এর টেলর সিরিজ,9
অনুক্রম ও শ্রেণী ধারণা,46,1 + 1/2 + 1/3 + 1/4 + ... ধারাটির প্রকৃতি কী?,কোনোটিই নয়,অভিসারী,উভয়ই,অপসারী,D,হারমোনিক ধারা অপসারী,10
অনুক্রম ও শ্রেণী ধারণা,47,1 - 1/2 + 1/3 - 1/4 + ... ধারাটির প্রকৃতি কী?,কোনোটিই নয়,অপসারী,উভয়ই,অভিসারী,D,এটি বিকল্প হারমোনিক ধারা যা অভিসারী,10
অনুক্রম ও শ্রেণী ধারণা,48,1 + 1/2ᵖ + 1/3ᵖ + 1/4ᵖ + ... ধারা p-সিরিজ অভিসারী হবে যখন?,p=0,p<1,p=1,p>1,D,p-সিরিজ p>1 হলে অভিসারী,10
অনুক্রম ও শ্রেণী ধারণা,49,1 - 1/2²ᵖ + 1/3²ᵖ - 1/4²ᵖ + ... ধারাটির প্রকৃতি p=1/2 হলে কী হবে?,কোনোটিই নয়,অভিসারী,উভয়ই,অপসারী,D,p=1/2 ≤ 1 হলে অপসারী,10
অনুক্রম ও শ্রেণী ধারণা,50,1 + 1/2! + 1/4! + 1/6! + ... ধারাটির যোগফল কত?,(e + 1/e)/2,(e - 1/e)/2,e,1/e,A,এই ধারাটির যোগফল (e + 1/e)/2,10
অসীম ধারার আংশিক সমষ্টি,51,1+3+5+... ধারাটির প্রথম 10টি পদের যোগফল কত?,100,81,121,64,A,প্রথম 10টি বিজোড় সংখ্যার যোগফল = n² = 10² = 100,5
অসীম ধারার আংশিক সমষ্টি,52,2+4+6+...+20 ধারাটির যোগফল কত?,110,120,130,140,A,যোগফল = n(n+1) = 10×11 = 110,5
অসীম ধারার আংশিক সমষ্টি,53,1+2+3+...+50 ধারাটির যোগফল কত?,1275,1225,1175,1125,A,যোগফল = n(n+1)/2 = 50×51/2 = 1275,5
অসীম ধারার আংশিক সমষ্টি,54,5+10+15+...+100 ধারাটির পদ সংখ্যা কত?,20,15,10,5,A,পদ সংখ্যা = 100/5 = 20,5
অসীম ধারার আংশিক সমষ্টি,55,3+7+11+15+... ধারাটির প্রথম 8টি পদের যোগফল কত?,136,144,152,160,A,যোগফল = n/2[2a+(n-1)d] = 4[6+28] = 136,6
অসীম ধারার আংশিক সমষ্টি,56,1²+2²+3²+...+10² ধারাটির যোগফল কত?,385,325,285,255,A,যোগফল = n(n+1)(2n+1)/6 = 385,6
অসীম ধারার আংশিক সমষ্টি,57,1³+2³+3³+...+8³ ধারাটির যোগফল কত?,1296,2025,3025,4096,A,যোগফল = [n(n+1)/2]² = 36² = 1296,6
অসীম ধারার আংশিক সমষ্টি,58,1×2+2×3+3×4+...+10×11 ধারাটির যোগফল কত?,440,450,460,470,A,যোগফল = n(n+1)(n+2)/3 = 440,6
অসীম ধারার আংশিক সমষ্টি,59,1+1/2+1/4+1/8+... ধারাটির প্রথম 5টি পদের যোগফল কত?,31/16,15/8,63/32,31/32,A,যোগফল = (1-1/2⁵)/(1-1/2) = 31/16,7
অসীম ধারার আংশিক সমষ্টি,60,2+6+18+54+... ধারাটির প্রথম 6টি পদের যোগফল কত?,728,729,1456,1458,A,যোগফল = 2(3⁶-1)/(3-1) = 728,7
অসীম ধারার আংশিক সমষ্টি,61,1-2+3-4+5-6+... ধারাটির প্রথম 20টি পদের যোগফল কত?,-10,10,-20,20,A,জোড় সংখ্যক পদে যোগফল = -n/2 = -10,7
অসীম ধারার আংশিক সমষ্টি,62,1+3+7+15+31+... ধারাটির প্রথম 5টি পদের যোগফল কত?,57,63,127,255,A,যোগফল = (2²+2³+2⁴+2⁵+2⁶)-5 = 57,7
অসীম ধারার আংশিক সমষ্টি,63,1/2+1/6+1/12+1/20+... ধারাটির প্রথম 10টি পদের যোগফল কত?,10/11,9/10,11/12,12/13,A,"টেলিস্কোপিং সিরিজ, যোগফল = 1 - 1/(n+1) = 10/11",8
অসীম ধারার আংশিক সমষ্টি,64,1×3+2×4+3×5+...+10×12 ধারাটির যোগফল কত?,570,580,590,600,A,যোগফল = Σn(n+2) = n(n+1)(2n+1)/6 + n(n+1) = 570,8
অসীম ধারার আংশিক সমষ্টি,65,1+4+9+16+...+100 ধারাটির যোগফল কত?,385,325,285,255,A,যোগফল = 1²+2²+...+10² = 385,8
অসীম ধারার আংশিক সমষ্টি,66,1+5+9+13+... ধারাটির প্রথম 15টি পদের যোগফল কত?,435,450,465,480,A,যোগফল = n/2[2a+(n-1)d] = 15/2[2+56] = 435,8
অসীম ধারার আংশিক সমষ্টি,67,1/1×2 + 1/2×3 + 1/3×4 +... ধারাটির প্রথম 99টি পদের যোগফল কত?,99/100,100/101,98/99,101/102,A,"টেলিস্কোপিং সিরিজ, যোগফল = 1 - 1/(n+1) = 99/100",9
অসীম ধারার আংশিক সমষ্টি,68,1+11+111+1111+... ধারাটির প্রথম 5টি পদের যোগফল কত?,12345,13579,11111,54321,A,যোগফল = 1+11+111+1111+11111 = 12345,9
অসীম ধারার আংশিক সমষ্টি,69,1²-2²+3²-4²+...-20² ধারাটির যোগফল কত?,-210,210,-420,420,A,যোগফল = -(1+2+3+...+20) = -210,9
অসীম ধারার আংশিক সমষ্টি,70,1+(1+2)+(1+2+3)+... ধারাটির প্রথম 10টি পদের যোগফল কত?,200,210,220,190,C,যোগফল = Σn(n+1)/2 = n(n+1)(n+2)/6 = 220,9
অসীম ধারার আংশিক সমষ্টি,71,1×1!+2×2!+3×3!+...+10×10! ধারাটির যোগফল কত?,11!,10!-1,11!-1,10!,C,যোগফল = (n+1)!-1 = 11!-1,10
অসীম ধারার আংশিক সমষ্টি,72,1/√1+√2 + 1/√2+√3 + ... + 1/√99+√100 ধারাটির যোগফল কত?,11,10,9,12,C,যুক্তিহর করে যোগফল = √100 - √1 = 9,10
অসীম ধারার আংশিক সমষ্টি,73,1²+3²+5²+...+19² ধারাটির যোগফল কত?,1520,1425,1330,1615,C,যোগফল = n(2n+1)(2n-1)/3 = 1330,10
অসীম ধারার আংশিক সমষ্টি,74,1+(1+3)+(1+3+5)+... ধারাটির প্রথম 7টি পদের যোগফল কত?,126,133,140,119,C,যোগফল = Σn² = n(n+1)(2n+1)/6 = 140,10
অসীম ধারার আংশিক সমষ্টি,75,1×2×3 + 2×3×4 + 3×4×5 + ... ধারাটির প্রথম 10টি পদের যোগফল কত?,6270,5280,4290,7260,C,যোগফল = n(n+1)(n+2)(n+3)/4 = 4290,10
অসীম ধারার আংশিক সমষ্টি,76,2²+4²+6²+...+20² ধারাটির যোগফল কত?,1740,1640,1540,1840,C,যোগফল = 4(1²+2²+...+10²) = 4×385 = 1540,7
অসীম ধারার আংশিক সমষ্টি,77,1+6+11+16+... ধারাটির প্রথম 12টি পদের যোগফল কত?,362,352,342,372,C,যোগফল = n/2[2a+(n-1)d] = 6[2+55] = 342,7
অসীম ধারার আংশিক সমষ্টি,78,1/3 + 1/15 + 1/35 + ... ধারাটির প্রথম 5টি পদের যোগফল কত?,7/15,6/13,5/11,8/17,C,যোগফল = n/(2n+1) = 5/11,8
অসীম ধারার আংশিক সমষ্টি,79,1-3+5-7+9-11+... ধারাটির প্রথম 30টি পদের যোগফল কত?,-60,30,-30,60,C,জোড় সংখ্যক পদে যোগফল = -2n = -60,8
অসীম ধারার আংশিক সমষ্টি,80,1+(1+2)+(1+2+3)+...+(1+2+...+20) ধারাটির যোগফল কত?,1540,1610,1680,1750,A,যোগফল = n(n+1)(n+2)/6 = 1540,8
অসীম ধারার আংশিক সমষ্টি,81,1×4 + 2×5 + 3×6 + ... + 10×13 ধারাটির যোগফল কত?,540,550,560,570,A,যোগফল = Σn(n+3) = n(n+1)(2n+1)/6 + 3n(n+1)/2 = 540,7
অসীম ধারার আংশিক সমষ্টি,82,1/1×3 + 1/3×5 + 1/5×7 + ... ধারাটির প্রথম 50টি পদের যোগফল কত?,50/101,51/102,49/100,52/103,A,যোগফল = n/(2n+1) = 50/101,8
অসীম ধারার আংশিক সমষ্টি,83,1+2²+3+4²+5+6²+... ধারাটির প্রথম 10টি পদের যোগফল কত?,215,225,235,245,A,"বিজোড় পদ = 1+3+5+..., জোড় পদ = 2²+4²+6²+...",7
অসীম ধারার আংশিক সমষ্টি,84,1+(1+4)+(1+4+7)+... ধারাটির প্রথম 5টি পদের যোগফল কত?,105,115,125,135,A,যোগফল = Σn(3n-1)/2 = 105,8
অসীম ধারার আংশিক সমষ্টি,85,1.2+2.3+3.4+...+10.11 ধারাটির যোগফল কত?,440,450,460,470,A,যোগফল = n(n+1)(n+2)/3 = 440,7
অসীম ধারার আংশিক সমষ্টি,86,1/2 + 1/4 + 1/8 + ... ধারাটির প্রথম 8টি পদের যোগফল কত?,255/256,127/128,63/64,31/32,A,যোগফল = 1 - 1/2⁸ = 255/256,6
অসীম ধারার আংশিক সমষ্টি,87,1+3+6+10+... ধারাটির প্রথম 7টি পদের যোগফল কত?,84,91,98,105,A,ত্রিভুজ সংখ্যার যোগফল = n(n+1)(n+2)/6 = 84,7
অসীম ধারার আংশিক সমষ্টি,88,1+4+9+16+... ধারাটির প্রথম 8টি পদের যোগফল কত?,204,220,240,260,A,যোগফল = n(n+1)(2n+1)/6 = 204,6
অসীম ধারার আংশিক সমষ্টি,89,1+5+12+22+... ধারাটির প্রথম 6টি পদের যোগফল কত?,175,185,195,205,A,পঞ্চভুজ সংখ্যার যোগফল = n²(n+1)/2 = 175,8
