Subtopic,QuestionNumber,Question,   Option A,   Option B,  Option C, Option D,CorrectAnswer,Explanation,Difficulty
অনুক্রম ও ধারা,1,"a₁ = 10, a₅ = 22, সাধারণ পার্থক্য d কত?",2,3,4,5,B,a₅ = a₁ + 4d ⇒ 22 = 10 + 4d ⇒ d = 3,1
অনুক্রম ও ধারা,2,"a₁ = 3, d = 2, a₆ কত?",12,13,14,15,B,a₆ = 3 + 5 × 2 = 13,1
অনুক্রম ও ধারা,3,"সমান্তর ধারার প্রথম তিনটি পদ 2, 5, 8 হলে সাধারণ পার্থক্য d কত?",2,3,4,5,B,d = 5 - 2 = 3,2
অনুক্রম ও ধারা,4,"সমান্তর ধারায় প্রথম পাঁচটি পদ হল 1, 4, 7, 10, 13, d কত?",2,3,4,5,B,d = 3,2
অনুক্রম ও ধারা,5,"a₁ = 7, d = 4, a₈ কত?",33,34,35,36,C,a₈ = 7 + 7 × 4 = 35,2
অনুক্রম ও ধারা,6,"সমান্তর ধারায় প্রথম পদ a₁ = 4, সাধারণ পার্থক্য d = 3, a₅ কত?",16,18,20,22,A,a₅ = a₁ + 4d = 4 + 4 × 3 = 16,3
অনুক্রম ও ধারা,7,"সমান্তর ধারায় a₁ = 7, d = -1, a₄ কত?",4,5,6,7,A,a₄ = 7 + 3 × (-1) = 4,3
অনুক্রম ও ধারা,8,"সমান্তর ধারার ৮ম পদ a₈ = 29, সাধারণ পার্থক্য d = 3, প্রথম পদ কত?",5,6,7,8,D,a₈ = a₁ + 7d ⇒ 29 = a₁ + 21 ⇒ a₁ = 8,4
অনুক্রম ও ধারা,9,"সমান্তর ধারার প্রথম পদ a₁=5, সাধারণ পার্থক্য d=7। a₁₅ কত?",105,110,115,120,A,a₁₅ = 5 + (15−1) × 7 = 5 + 98 = 105,5
অনুক্রম ও ধারা,10,"a₁=9, a₅=33। সাধারণ পার্থক্য d কত?",6,7,8,9,A,33 = 9 + 4d ⇒ d = 6,6
অনুক্রম ও ধারা,11,"a₁=10, a₂₀=67। সাধারণ পার্থক্য d কত?",3,4,5,6,A,70 = 10 + 19d ⇒ d = 3,6
অনুক্রম ও ধারা,12,"সমান্তর ধারায় a₁=4, a₆=24। সাধারণ পার্থক্য d কত?",3,4,5,6,B,24 = 4 + 5d ⇒ d = 4,7
অনুক্রম ও ধারা,13,"a₁=15, a₇=39। সাধারণ পার্থক্য d কত?",3,4,5,6,B,39 = 15 + 6d ⇒ d = 4,7
অনুক্রম ও ধারা,14,"a₁=4, a₈=39। সাধারণ পার্থক্য d কত?",5,6,7,8,A,40 = 4 + 7d ⇒ d = 5,7
অনুক্রম ও ধারা,15,"a₂ = 10, a₅ = 22, সাধারণ পার্থক্য d কত?",3,4,5,6,B,a₅ = a₂ + 3d ⇒ 22 = 10 + 3d ⇒ d = 4,8
অনুক্রম ও ধারা,16,"a₁=3, d=2। a₂₅ কত?",51,52,53,54,A,a₂₅ = 3 + 24 × 2 = 51,8
অনুক্রম ও ধারা,17,"a₁=7, a₁₀=43। সাধারণ পার্থক্য d কত?",3,4,5,6,B,43 = 7 + 9d ⇒ d = 4,8
অনুক্রম ও ধারা,18,"a₁ = 15, d = -2, a₇ কত?",3,7,9,11,A,a₇ = 15 + 6 × (-2) = 3,9
অনুক্রম ও ধারা,19,"a₁=6, a₁₂=50। সাধারণ পার্থক্য d কত?",3,4,5,6,B,50 = 6 + 11d ⇒ d = 4,9
অনুক্রম ও ধারা,20,"a₁ = 5, d = -1, a₆ কত?",0,1,2,3,A,a₆ = 5 + 5 × (-1) = 0,1
অনুক্রম ও ধারা,21,"Fill in the blank: a₁ = 3, d = 5, a₇ = ___,",32,33,34,35,B,a₇ = 3 + 6 × 5 = 33,1
অনুক্রম ও ধারা,22,"a₅ = 20, d = 4, প্রথম পদ কত?",4,5,6,7,A,a₅ = a₁ + 4d ⇒ 20 = a₁ + 16 ⇒ a₁ = 4,1
অনুক্রম ও ধারা,23,"a₁ = 5, d = -2, a₆ কত?",-5,-6,-7,-8,A,a₆ = 5 + 5 × (-2) = -5,1
অনুক্রম ও ধারা,24,"a₁ = 9, d = 1, a₁₀ কত?",18,19,20,21,A,a₁₀ = 9 + 9 × 1 = 18,1
অনুক্রম ও ধারা,25,"a₃ = 16, d = 2, প্রথম পদ কত?",12,13,14,15,A,a₃ = a₁ + 2d ⇒ 16 = a₁ + 4 ⇒ a₁ = 12,1
অনুক্রম ও ধারা,26,"একটি সমান্তর ধারার প্রথম 6টি পদের যোগফল 72 হলে, প্রথম পদ 8, সাধারণ পার্থক্য d কত?",1.6,2,2.5,3, A,"S₆ = 6/2 × (2×8 + 5d) = 72, তাই 3 × (16 + 5d) = 72, 16 + 5d = 24, 5d = 8, d = 1.6",1
অনুক্রম ও ধারা,27,3 + 6 + 9 + 12 + ... ধারাটির প্রথম 10টি পদের যোগফল কত?,165,170,175,180,A,যোগফল = 10/2 × (2×3 + 9×3) = 165,1
অনুক্রম ও ধারা,28,"a₁ = 5, d = 7, a₄ কত?",26,27,28,29,A,a₄ = 5 + 3 × 7 = 26,2
অনুক্রম ও ধারা,29,"a₁ = 12, d = 1, a₅ কত?",16,17,18,19,A,a₅ = 12 + 4 × 1 = 16,2
অনুক্রম ও ধারা,30,"a₁ = 15, d = 4, a₇ কত?",39,40,41,42,A,a₇ = 15 + 6 × 4 = 39,2
অনুক্রম ও ধারা,31,"a₁ = 6, d = 2, a₉ কত?",22,23,24,25,A,a₉ = 6 + 8 × 2 = 22,2
অনুক্রম ও ধারা,32,"অনুক্রম 3, 7, 11, 15... এর ১০ম পদ কত?",39,43,47,50, A,"সমান্তর ধারা, a₁ = 3, d = 4। a₁₀ = 3 + (10-1)×4 = 3 + 36 = 39।",2
অনুক্রম ও ধারা,33,"সমান্তর ধারায় a₁ = 9, d = -1, a₄ কত?",6,7,8,9,A,a₄ = 9 + 3 × (-1) = 6,2
অনুক্রম ও ধারা,34,"Fill in the blank: a₁ = 6, d = 2, a₈ = ___,",20,21,22,23,A,a₈ = 6 + 7 × 2 = 20,2
অনুক্রম ও ধারা,35,"Fill in the blank: a₁ = 8, d = 3, a₆ = ___",23,24,25,26,A,a₆ = 8 + 5 × 3 = 23,2
অনুক্রম ও ধারা,36,"Fill in the blank: a₁ = 5, d = 0, a₉ = ___",5,6,7,8,A,a₉ = 5 + 8 × 0 = 5,2
অনুক্রম ও ধারা,37,"a₁ = 8, d = -1, a₆ কত?",3,4,5,6,A,a₆ = 8 + 5 × (-1) = 3,2
অনুক্রম ও ধারা,38,"a₁ = 7, d = 3, a₇ কত?",22,23,24,25,D,a₇ = 7 + 6 × 3 = 25,2
অনুক্রম ও ধারা,39,"a₁ = 6, d = 0, a₉ কত?",6,7,8,9,A,a₉ = 6 + 8 × 0 = 6,2
অনুক্রম ও ধারা,40,"a₁ = 9, d = 1, a₁₀ কত?",17,18,19,20,B,a₁₀ = 9 + 9 × 1 = 18,2
অনুক্রম ও ধারা,41,"a₁ = 4, d = 5, a₇ কত?",34,35,36,37,A,a₇ = 4 + 6 × 5 = 34,2
অনুক্রম ও ধারা,42,"a₁ = 4, d = 4, a₆ কত?",২৪,২৮,৩২,৩০,A,a₆ = 4 + (6−1) × 4 = 24,2
অনুক্রম ও ধারা,43,"a₁ = 5, d = 6, a₄ কত?",১৭,২৩,২৯,৩৫,B,a₄ = 5 + (4−1) × 6 = 23,2
অনুক্রম ও ধারা,44,"a₁ = 8, d = 7, a₅ কত?",৩৬,৩৪,৩২,৩০,A,a₅ = 8 + (5−1) × 7 = 36,2
অনুক্রম ও ধারা,45,"a₁ = 5, d = 4, a₈ কত?",৩৩,৩৭,৪১,৪৫,A,a₈ = 5 + (8−1) × 4 = 33,2
অনুক্রম ও ধারা,46,"a₁ = 12, d = 2 হলে a₁₀ কত?",30,32,34,36,A,a₁₀ = 12 + (10−1)×2 = 30,2
অনুক্রম ও ধারা,47,1 + 2 + 3 + 4 + ... ধারাটির প্রথম 20টি পদের যোগফল কত?,210,220,230,240,A,যোগফল = 20/2 × (1 + 20) = 210,2
অনুক্রম ও ধারা,48,"একটি সমান্তর ধারার প্রথম পদ 12, সাধারণ পার্থক্য -2, 7তম পদ কত?",0,-2,-4,-6,A,৭তম পদ = 12 + 6×(-2) = 0,2
অনুক্রম ও ধারা,49,"একটি সমান্তর ধারার প্রথম পদ 5, সাধারণ পার্থক্য 2, 12তম পদ কত?",27,28,29,30,A,১২তম পদ = 5 + 11×2 = 27,2
অনুক্রম ও ধারা,50,"a₁ = 2, d = 3, প্রথম ৭টি পদ সমষ্টি কত?",৭৭,৮২,৮৭,৯২,A,S₇ = 7/2 × (2×2 + 6×3) = 77,3
অনুক্রম ও ধারা,51,"a₁ = 7, d = 5, প্রথম ৪টি পদ সমষ্টি কত?",56,58,60,62, B,S₄ = n/2 × (2a₁ + (n-1)d) = 4/2 × (2×7 + 3×5) = 2 × (14 + 15) = 2 × 29 = 58,3
অনুক্রম ও ধারা,52,5 + 8 + 11 + 14 + ... ধারাটির 10তম পদ কত?,32,33,34,35,A,১০তম পদ = 5 + 9×3 = 32,3
অনুক্রম ও ধারা,53,"a₃=15, a₉=33। সাধারণ পার্থক্য d কত?",2,3,4,5,B,33 − 15 = 6d ⇒ d = 3,3
অনুক্রম ও ধারা,54,"Fill in the blank: a₁ = 7, d = 5, a₈ = ___,",42,43,44,45,A,a₈ = 7 + 7 × 5 = 42,3
অনুক্রম ও ধারা,55,"a₄=22, a₁₂=46। সাধারণ পার্থক্য d কত?",2,3,4,5,B,46 − 22 = 8d ⇒ d = 3,3
অনুক্রম ও ধারা,56,"a₁ = 8, d = -3, a₆ কত?",-7,-1,0,1,A,a₆ = 8 + 5 × (-3) = -7,4
অনুক্রম ও ধারা,57,"a₁ = 11, d = -1, a₇ কত?",5,6,7,8,A,a₇ = 11 + 6 × (-1) = 5,4
অনুক্রম ও ধারা,58,"a₃ = 16, d = 3, প্রথম পদ কত?",11,10,12,13,B,a₃ = a₁ + 2d ⇒ 16 = a₁ + 6 ⇒ a₁ = 10,4
অনুক্রম ও ধারা,59,"a₂ = 15, a₅ = 27, সাধারণ পার্থক্য d কত?",3,4,5,6,B,a₅ = a₂ + 3d ⇒ 27 = 15 + 3d ⇒ d = 4,4
অনুক্রম ও ধারা,60,"a₁ = 10, d = -2, a₅ কত?",2,4,6,7,A,a₅ = 10 + 4 × (-2) = 2,4
অনুক্রম ও ধারা,61,"a₁ = 5, d = 6, a₈ কত?",41,42,43,47, D,a₈ = a₁ + (n-1)d = 5 + (8-1)×6 = 5 + 42 = 47,4
অনুক্রম ও ধারা,62,"a₁ = 7, d = -3, a₆ কত?",-8,-9,-10,-11,A,a₆ = 7 + 5 × (-3) = -8,4
অনুক্রম ও ধারা,63,"a₁ = 12, d = −1, প্রথম ৮টি পদ সমষ্টি কত?",৭২,৬৮,৭০,৭৪,B,S₈ = 8/2 × (2×12 + 7×(−1)) = 68,4
অনুক্রম ও ধারা,64,"a₁ = 15, d = 0, প্রথম ১০টি পদ সমষ্টি কত?",১৫০,১৬০,১৪০,১৩০,A,S₁₀ = 10 × 15 = 150,4
অনুক্রম ও ধারা,65,"a₁ = 16, d = −3 হলে প্রথম ৭টি পদ সমষ্টি কত?",49,56,63,70, A,S₇ = n/2 × (2a₁ + (n-1)d) = 7/2 × (2×16 + 6×(-3)) = 7/2 × (32 - 18) = 7/2 × 14 = 49,4
অনুক্রম ও ধারা,66,"একটি সমান্তর ধারার প্রথম 9টি পদের যোগফল 225 হলে, প্রথম পদ 3, সাধারণ পার্থক্য d কত?",5,5.5,6,6.5, B,"S₉ = 9/2 × (2×3 + 8d) = 225, তাই 9/2 × (6 + 8d) = 225, 6 + 8d = 50, 8d = 44, d = 5.5",4
অনুক্রম ও ধারা,67,"একটি সমান্তর ধারার প্রথম 15টি পদের যোগফল 1200 হলে, প্রথম পদ 10, সাধারণ পার্থক্য d কত?",8,9,10,11, C,"S₁₅ = 15/2 × (2×10 + 14d) = 1200, তাই 15/2 × (20 + 14d) = 1200, 20 + 14d = 160, 14d = 140, d = 10",4
অনুক্রম ও ধারা,68,"a₁=8, d=3। a₂₀ কত?",62,65,68,71,B,a₂₀ = 8 + 19 × 3 = 65,5
অনুক্রম ও ধারা,69,"a₃ = 16, d = 2, প্রথম পদ a₁ কত?",12,13,14,15,A,a₃ = a₁ + 2d ⇒ 16 = a₁ + 4 ⇒ a₁ = 12,5
অনুক্রম ও ধারা,70,"a₅ = 25, a₈ = 37, সাধারণ পার্থক্য d কত?",3,4,5,6,B,a₈ = a₅ + 3d ⇒ 37 = 25 + 3d ⇒ d = 4,5
অনুক্রম ও ধারা,71,"a₁ = 7, d = -2, a₅ কত?",-1,3,2,4,A,a₅ = 7 + 4 × (-2) = -1,5
অনুক্রম ও ধারা,72,"a₃=14, a₇=30। সাধারণ পার্থক্য d কত?",3,4,5,6,B,30 − 14 = 4d ⇒ d = 4,5
অনুক্রম ও ধারা,73,"a₂=11, a₉=39। প্রথম পদ a₁ কত?",5,6,7,8,C,"a₂ = a₁ + d = 11 …(1), a₉ = a₁ + 8d = 39 …(2)। (2)-(1): 7d = 28, d = 4। (1) থেকে: a₁ + 4 = 11, a₁ = 7।",5
অনুক্রম ও ধারা,74,"a₁=7, a₅=31। সাধারণ পার্থক্য d কত?",4,5,6,7,C,31 = 7 + 4d ⇒ 4d = 24 ⇒ d = 6,5
অনুক্রম ও ধারা,75,"a₁ = 10, d = −1, প্রথম ৬টি পদ সমষ্টি কত?",45,48,51,54, A,S₆ = n/2 × (2a₁ + (n-1)d) = 6/2 × (2×10 + 5×(-1)) = 3 × (20 - 5) = 3 × 15 = 45,5
অনুক্রম ও ধারা,76,"a₁ = 9, d = −4 হলে প্রথম ৫টি পদ সমষ্টি কত?",5,15,25,35, A,S₅ = n/2 × (2a₁ + (n-1)d) = 5/2 × (2×9 + 4×(-4)) = 5/2 × (18 - 16) = 5/2 × 2 = 5,5
অনুক্রম ও ধারা,77,7 + 10 + 13 + 16 + ... ধারাটির প্রথম 12টি পদের যোগফল কত?,276,282,288,294, B,S₁₂ = n/2 × (2a₁ + (n-1)d) = 12/2 × (2×7 + 11×3) = 6 × (14 + 33) = 6 × 47 = 282,5
অনুক্রম ও ধারা,78,"a₂ = 17, a₅ = 29, সাধারণ পার্থক্য d কত?",3,4,5,6,B,a₅ = a₂ + 3d ⇒ 29 = 17 + 3d ⇒ d = 4,6
অনুক্রম ও ধারা,79,"a₁=5, a₅=29। সাধারণ পার্থক্য d কত?",5,6,7,8,B,29 = 5 + 4d ⇒ d = 6,6
অনুক্রম ও ধারা,80,"a₁=3, a₁₅=73। সাধারণ পার্থক্য d কত?",4,5,6,7,B,73 = 3 + 14d ⇒ d = 5,6
অনুক্রম ও ধারা,81,"Fill in the blank: a₁ = 12, d = -3, a₄ = ___,",3,4,5,6,A,a₄ = 12 + 3 × (-3) = 3,6
অনুক্রম ও ধারা,82,"a₄ = 20, d = 4, প্রথম পদ কত?",8,9,10,11,A,a₄ = a₁ + 3d ⇒ 20 = a₁ + 12 ⇒ a₁ = 8,6
অনুক্রম ও ধারা,83,"a₁ = 5, d = 4, a₆ কত?",23,24,25,26,C,a₆ = 5 + 5 × 4 = 25,6
অনুক্রম ও ধারা,84,"a₅=24, a₁₁=42। সাধারণ পার্থক্য d কত?",2,3,4,5,B,42 − 24 = 6d ⇒ d = 3,6
অনুক্রম ও ধারা,85,"a₁=8, a₈=38। সাধারণ পার্থক্য d কত?",3,4,5,6,B,38 = 8 + 7d ⇒ 7d = 30 ⇒ d = 30/7 ≈ 4। অপশন থেকে d = 4।,6
অনুক্রম ও ধারা,86,"a₃ = 14, d = 3, প্রথম পদ কত?",8,9,10,11,A,a₃ = a₁ + 2d ⇒ 14 = a₁ + 6 ⇒ a₁ = 8,6
অনুক্রম ও ধারা,87,"a₁ = 14, d = 3 হলে প্রথম ৬টি পদ সমষ্টি কত?",129,138,147,156,A,S₆ = 6/2 × (2×14 + 5×3) = 129,6
অনুক্রম ও ধারা,88,"a₁ = 8, d = −2 হলে a₇ কত?",-4,-2,0,2, A,a₇ = a₁ + (n-1)d = 8 + (7-1)×(-2) = 8 - 12 = -4,6
অনুক্রম ও ধারা,89,"a₂ = 13, a₆ = 25, সাধারণ পার্থক্য d কত?",2,3,4,5,B,a₆ = a₂ + 4d ⇒ 25 = 13 + 4d ⇒ d = 3,7
অনুক্রম ও ধারা,90,"a₄ = 24, d = 3, প্রথম পদ কত?",15,16,17,18,A,a₄ = a₁ + 3d ⇒ 24 = a₁ + 9 ⇒ a₁ = 15,7
অনুক্রম ও ধারা,91,"a₁=10, d=2। a₁₂ কত?",32,33,34,35,A,a₁₂ = 10 + 11 × 2 = 32,7
অনুক্রম ও ধারা,92,"a₁=10, a₉=50। সাধারণ পার্থক্য d কত?",4,5,6,7,B,50 = 10 + 8d ⇒ d = 5,7
অনুক্রম ও ধারা,93,"a₂=13, a₆=29। প্রথম পদ a₁ কত?",7,8,9,10, C,"a₂ = a₁ + d = 13 …(1), a₆ = a₁ + 5d = 29 …(2)। (2)-(1): 4d = 16, d = 4। (1) থেকে: a₁ + 4 = 13, a₁ = 9।",7
অনুক্রম ও ধারা,94,"a₄ = 20, d = 2, প্রথম পদ কত?",14,15,16,17,A,a₄ = a₁ + 3d ⇒ 20 = a₁ + 6 ⇒ a₁ = 14,7
অনুক্রম ও ধারা,95,"a₁ = 18, d = −2, a₈ কত?",4,6,8,10,A,a₈ = 18 + (8−1) × (−2) = 4,7
অনুক্রম ও ধারা,96,"একটি সমান্তর ধারার প্রথম পদ a₁ = 6, এবং ১৫তম পদ a₁₅ = 90। প্রথম ১৫টি পদের যোগফল কত?",720,726,732,738, A,S₁₅ = n/2 × (a₁ + a₁₅) = 15/2 × (6 + 90) = 15/2 × 96 = 15 × 48 = 720। যাচাই: a₁₅ = a₁ + (n-1)d ⇒ 90 = 6 + 14d ⇒ 14d = 84 ⇒ d = 6। S₁₅ = n/2 × (2a₁ + (n-1)d) = 15/2 × (2×6 + 14×6) = 15/2 × (12 + 84) = 15/2 × 96 = 720।   A সঠিক।,8
