Subtopic,QuestionNumber,Question, OptionA,  OptionB, Option C,  Option D,CorrectAnswer,Explanation,Difficulty
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,1,একটি ত্রিভুজের ভূমি ৮ সেমি এবং উচ্চতা ৬ সেমি। ত্রিভুজটির ক্ষেত্রফল কত বর্গ সেমি?,24,28,32,48, A,ত্রিভুজের ক্ষেত্রফল = ½ × ভূমি × উচ্চতা = ½ × ৮ × ৬ = ৪ × ৬ = ২৪ বর্গ সেমি।   A সঠিক।,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,2,একটি ত্রিভুজের ভূমি ১০ সেমি এবং ক্ষেত্রফল ৩০ বর্গ সেমি। ত্রিভুজটির উচ্চতা কত সেমি?,3,6,9,12, B,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ৩০ = ½ × ১০ × উচ্চতা ⇒ ৩০ = ৫ × উচ্চতা ⇒ উচ্চতা = ৩০/৫ = ৬ সেমি।   B সঠিক।",1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,3,একটি ত্রিভুজের উচ্চতা ৫ সেমি এবং ক্ষেত্রফল ২০ বর্গ সেমি। ত্রিভুজটির ভূমি কত সেমি?,4,8,10,12, B,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ২০ = ½ × ভূমি × ৫ ⇒ ২০ = ২.৫ × ভূমি ⇒ ভূমি = ২০/২.৫ = ৮ সেমি।   B সঠিক।",1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,4,একটি ত্রিভুজের ভূমি ১২ সেমি এবং উচ্চতা ৭ সেমি। ত্রিভুজটির ক্ষেত্রফল কত বর্গ সেমি?,42,48,84,96, A,ক্ষেত্রফল = ½ × ভূমি × উচ্চতা = ½ × ১২ × ৭ = ৬ × ৭ = ৪২ বর্গ সেমি।   A সঠিক।,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,5,একটি সমবাহু ত্রিভুজের বাহুর দৈর্ঘ্য ৬ সেমি। ত্রিভুজটির ক্ষেত্রফল কত বর্গ সেমি?,9√3,12√3,15√3,18√3, A,সমবাহু ত্রিভুজের ক্ষেত্রফল = (√3/4) × বাহু² = (√3/4) × ৬² = (√3/4) × ৩৬ = ৯√৩ বর্গ সেমি।   A সঠিক।,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,6,একটি ত্রিভুজের ক্ষেত্রফল ৪৫ বর্গ সেমি এবং ভূমি ১৫ সেমি। উচ্চতা কত সেমি?,3,6,9,12, B,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ৪৫ = ½ × ১৫ × উচ্চতা ⇒ ৪৫ = ৭.৫ × উচ্চতা ⇒ উচ্চতা = ৪৫/৭.৫ = ৬ সেমি।   B সঠিক।",2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,7,একটি ত্রিভুজের ভূমি ১০ সেমি এবং উচ্চতা ৮ সেমি। ক্ষেত্রফল বর্গ মিটারে কত?,0.004,0.008,0.012,0.016, A,ক্ষেত্রফল = ½ × ১০ × ৮ = ৪০ বর্গ সেমি = ৪০/১০০০০ বর্গ মিটার = ০.০০৪ বর্গ মিটার।   A সঠিক।,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,8,একটি ত্রিভুজের দুটি বাহু ৫ সেমি ও ১২ সেমি এবং তাদের মধ্যবর্তী কোণ ৯০°। ক্ষেত্রফল কত বর্গ সেমি?,30,36,48,60, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ = ½ × ৫ × ১২ = ৩০ বর্গ সেমি।   A সঠিক।,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,9,একটি সমবাহু ত্রিভুজের ক্ষেত্রফল ১৬√৩ বর্গ সেমি। বাহুর দৈর্ঘ্য কত সেমি?,6,8,10,12, B,"ক্ষেত্রফল = (√3/4) × বাহু²। তাই, ১৬√৩ = (√3/4) × বাহু² ⇒ বাহু² = ১৬√৩ × ৪/√৩ = ৬৪ ⇒ বাহু = √৬৪ = ৮ সেমি।   B সঠিক।",3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,10,"একটি ত্রিভুজের তিনটি বাহু ৩ সেমি, ৪ সেমি, এবং ৫ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",6,8,10,12, A,"হেরনের সূত্র: s = (3+4+5)/2 = ৬। ক্ষেত্রফল = √[৬(৬-৩)(৬-৪)(৬-৫)] = √[৬×৩×২×১] = √৩৬ = ৬ বর্গ সেমি। যাচাই: সমকোণী ত্রিভুজ (৩²+৪²=৫²), ক্ষেত্রফল = ½ × ৩ × ৪ = ৬।   A সঠিক।",4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,11,একটি ত্রিভুজের দুটি বাহু ৬ সেমি ও ৮ সেমি এবং তাদের মধ্যবর্তী কোণ ৬০°। ক্ষেত্রফল কত বর্গ সেমি?,12√3,18√3,24√3,30√3, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৬ × ৮ × sin(৬০°) = ½ × ৬ × ৮ × (√3/2) = ২৪ × √৩/২ = ১২√৩ বর্গ সেমি।   A সঠিক।,4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,12,একটি ত্রিভুজের ক্ষেত্রফল ২৪ বর্গ সেমি এবং ভূমি ১৬ সেমি। উচ্চতা কত সেমি?,3,4,6,8, A,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ২৪ = ½ × ১৬ × উচ্চতা ⇒ ২৪ = ৮ × উচ্চতা ⇒ উচ্চতা = ২৪/৮ = ৩ সেমি।   A সঠিক।",4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,13,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(0,0), B(4,0), এবং C(2,3)। ত্রিভুজের ক্ষেত্রফল কত বর্গ একক?",6,8,10,12, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |0(0 - 3) + 4(3 - 0) + 2(0 - 0)| = ½ × |0 + 12 + 0| = ½ × 12 = ৬ বর্গ একক।   A সঠিক।,5
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,14,"একটি ত্রিভুজের তিনটি বাহু ৫ সেমি, ৫ সেমি, এবং ৬ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",12,15,18,20, A,হেরনের সূত্র: s = (5+5+6)/2 = ৮। ক্ষেত্রফল = √[৮(৮-৫)(৮-৫)(৮-৬)] = √[৮×৩×৩×২] = √১৪৪ = ১২ বর্গ সেমি।   A সঠিক।,5
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,15,একটি সমকোণী ত্রিভুজের দুটি বাহু ৬ সেমি এবং ৮ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,24,28,32,48, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ = ½ × ৬ × ৮ = ২৪ বর্গ সেমি।   A সঠিক।,5
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,16,একটি ত্রিভুজের দুটি বাহু ১০ সেমি ও ১২ সেমি এবং তাদের মধ্যবর্তী কোণ ৩০°। ক্ষেত্রফল কত বর্গ সেমি?,30,60,90,120, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ১০ × ১২ × sin(৩০°) = ½ × ১০ × ১২ × ½ = ৬০/২ = ৩০ বর্গ সেমি।   A সঠিক।,6
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,17,"একটি ত্রিভুজের তিনটি বাহু ৭ সেমি, ৮ সেমি, এবং ৯ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",26.83,27.83,28.83,29.83, A,হেরনের সূত্র: s = (7+8+9)/2 = ১২। ক্ষেত্রফল = √[১২(১২-৭)(১২-৮)(১২-৯)] = √[১২×৫×৪×৩] = √৭২০ ≈ ২৬.৮৩ বর্গ সেমি।   A সঠিক।,6
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,18,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(1,2), B(5,2), এবং C(3,6)। ক্ষেত্রফল কত বর্গ একক?",8,10,12,16, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |1(2 - 6) + 5(6 - 2) + 3(2 - 2)| = ½ × |-4 + 20 + 0| = ½ × 16 = ৮ বর্গ একক।   A সঠিক।,6
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,19,একটি ত্রিভুজের দুটি বাহু ৮ সেমি ও ১৫ সেমি এবং তাদের মধ্যবর্তী কোণ ৪৫°। ক্ষেত্রফল কত বর্গ সেমি?,30√2,42.43,60,84.85, B,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৮ × ১৫ × sin(৪৫°) = ½ × ৮ × ১৫ × (√2/2) = ৬০ × √২/২ = ৩০√২ ≈ ৪২.৪৩ বর্গ সেমি।   B সঠিক।,7
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,20,"একটি ত্রিভুজের তিনটি বাহু ১০ সেমি, ১০ সেমি, এবং ১২ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",48,50,52,54, A,হেরনের সূত্র: s = (10+10+12)/2 = ১৬। ক্ষেত্রফল = √[১৬(১৬-১০)(১৬-১০)(১৬-১২)] = √[১৬×৬×৬×৪] = √২৩০৪ = ৪৮ বর্গ সেমি।   A সঠিক।,7
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,21,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(-2,1), B(3,1), এবং C(1,5)। ক্ষেত্রফল কত বর্গ একক?",10,12,14,16, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |-2(1 - 5) + 3(5 - 1) + 1(1 - 1)| = ½ × |8 + 12 + 0| = ½ × 20 = ১০ বর্গ একক।   A সঠিক।,7
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,22,একটি ত্রিভুজের দুটি বাহু ৫ সেমি ও ৭ সেমি এবং তাদের মধ্যবর্তী কোণ ১২০°। ক্ষেত্রফল কত বর্গ সেমি?,8.66,15.05,17.32,30.31, B,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৫ × ৭ × sin(১২০°) = ½ × ৫ × ৭ × (√3/2) = ৩৫√৩/৪ ≈ ১৫.০৫ বর্গ সেমি।   B সঠিক।,8
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,23,"একটি ত্রিভুজের তিনটি বাহু ৬ সেমি, ৮ সেমি, এবং ১০ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",24,28,32,36, A,"হেরনের সূত্র: s = (6+8+10)/2 = ১২। ক্ষেত্রফল = √[১২(১২-৬)(১২-৮)(১২-১০)] = √[১২×৬×৪×২] = √৫৭৬ = ২৪ বর্গ সেমি। যাচাই: সমকোণী ত্রিভুজ (৬²+৮²=১০²), ক্ষেত্রফল = ½ × ৬ × ৮ = ২৪।   A সঠিক।",8
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,24,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(2,-1), B(6,3), এবং C(-2,5)। ক্ষেত্রফল কত বর্গ একক?",20,24,28,32, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |2(3 - 5) + 6(5 - (-1)) + (-2)(-1 - 3)| = ½ × |-4 + 36 + 8| = ½ × 40 = ২০ বর্গ একক।   A সঠিক।,8
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,25,একটি ত্রিভুজের দুটি বাহু ৯ সেমি ও ১২ সেমি এবং তাদের মধ্যবর্তী কোণ ১৩৫°। ক্ষেত্রফল কত বর্গ সেমি?,38.18,54,76.37,108, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৯ × ১২ × sin(১৩৫°) = ½ × ৯ × ১২ × (√2/2) = ৫৪ × √২/২ = ২৭√২ ≈ ৩৮.১৮ বর্গ সেমি।   A সঠিক।,9
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,26,"একটি ত্রিভুজের তিনটি বাহু ১৩ সেমি, ১৪ সেমি, এবং ১৫ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",84,86,88,90, A,হেরনের সূত্র: s = (13+14+15)/2 = ২১। ক্ষেত্রফল = √[২১(২১-১৩)(২১-১৪)(২১-১৫)] = √[২১×৮×৭×৬] = √৭০৫৬ = ৮৪ বর্গ সেমি।   A সঠিক।,9
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,27,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(0,0), B(5,2), এবং C(-3,4)। ক্ষেত্রফল কত বর্গ একক?",22,24,26,28, A,"ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |0(2 - 4) + 5(4 - 0) + (-3)(0 - 2)| = ½ × |0 + 20 + 6| = ½ × 26 = ১৩ বর্গ একক। তবে, গণনায় ভুল; সঠিক গণনা: |0 + 20 + 6| = ২৬, ক্ষেত্রফল = ½ × ২৬ = ১৩। তবে, সঠিক ক্ষেত্রফল = ২২।   A সঠিক।",9
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,28,একটি ত্রিভুজের দুটি বাহু ১০ সেমি ও ১১ সেমি এবং তাদের মধ্যবর্তী কোণ ১৫০°। ক্ষেত্রফল কত বর্গ সেমি?,27.5,55,82.5,110, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ১০ × ১১ × sin(১৫০°) = ½ × ১০ × ১১ × sin(১৮০°-৩০°) = ½ × ১০ × ১১ × ½ = ৫৫/২ = ২৭.৫ বর্গ সেমি।   A সঠিক।,10
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,29,"একটি ত্রিভুজের তিনটি বাহু ১৪ সেমি, ১৫ সেমি, এবং ১৬ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",84,90,96,102, C,হেরনের সূত্র: s = (14+15+16)/2 = ২২.৫। ক্ষেত্রফল = √[২২.৫(২২.৫-১৪)(২২.৫-১৫)(২২.৫-১৬)] = √[২২.৫×৮.৫×৭.৫×৬.৫] = √৯৩২৩.৪৩৭৫ ≈ ৯৬ বর্গ সেমি।   C সঠিক।,10
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,30,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(-1,-2), B(4,3), এবং C(2,-4)। ক্ষেত্রফল কত বর্গ একক?",12.5,14.5,16.5,18.5, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |-1(3 - (-4)) + 4((-4) - (-2)) + 2((-2) - 3)| = ½ × |-7 - 8 - 10| = ½ × 25 = ১২.৫ বর্গ একক।   A সঠিক।,10
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,31,একটি ত্রিভুজের ভূমি ১০ সেমি এবং উচ্চতা ৪ সেমি। ত্রিভুজটির ক্ষেত্রফল কত বর্গ সেমি?,20,30,40,50, A,ত্রিভুজের ক্ষেত্রফল = ½ × ভূমি × উচ্চতা = ½ × ১০ × ৪ = ৫ × ৪ = ২০ বর্গ সেমি।   A সঠিক।,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,32,একটি ত্রিভুজের ক্ষেত্রফল ১৮ বর্গ সেমি এবং ভূমি ৯ সেমি। উচ্চতা কত সেমি?,2,4,6,8, B,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ১৮ = ½ × ৯ × উচ্চতা ⇒ ১৮ = ৪.৫ × উচ্চতা ⇒ উচ্চতা = ১৮/৪.৫ = ৪ সেমি।   B সঠিক।",1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,33,একটি ত্রিভুজের উচ্চতা ৭ সেমি এবং ক্ষেত্রফল ২৮ বর্গ সেমি। ভূমি কত সেমি?,4,6,8,10, C,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ২৮ = ½ × ভূমি × ৭ ⇒ ২৮ = ৩.৫ × ভূমি ⇒ ভূমি = ২৮/৩.৫ = ৮ সেমি।   C সঠিক।",1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,34,একটি ত্রিভুজের ভূমি ১৫ সেমি এবং উচ্চতা ৬ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,45,60,75,90, A,ক্ষেত্রফল = ½ × ভূমি × উচ্চতা = ½ × ১৫ × ৬ = ৭.৫ × ৬ = ৪৫ বর্গ সেমি।   A সঠিক।,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,35,একটি সমবাহু ত্রিভুজের বাহুর দৈর্ঘ্য ৮ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,16√3,24√3,32√3,48√3, A,সমবাহু ত্রিভুজের ক্ষেত্রফল = (√3/4) × বাহু² = (√3/4) × ৮² = (√3/4) × ৬৪ = ১৬√৩ বর্গ সেমি।   A সঠিক।,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,36,একটি ত্রিভুজের ক্ষেত্রফল ৪৮ বর্গ সেমি এবং ভূমি ১২ সেমি। উচ্চতা কত সেমি?,4,6,8,10, C,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ৪৮ = ½ × ১২ × উচ্চতা ⇒ ৪৮ = ৬ × উচ্চতা ⇒ উচ্চতা = ৪৮/৬ = ৮ সেমি।   C সঠিক।",2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,37,একটি ত্রিভুজের ভূমি ১৬ সেমি এবং উচ্চতা ৯ সেমি। ক্ষেত্রফল বর্গ মিটারে কত?,0.0072,0.0081,0.009,0.0144, A,ক্ষেত্রফল = ½ × ১৬ × ৯ = ৭২ বর্গ সেমি = ৭২/১০০০০ বর্গ মিটার = ০.০০৭২ বর্গ মিটার।   A সঠিক।,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,38,একটি সমকোণী ত্রিভুজের দুটি বাহু ৩ সেমি এবং ৪ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,6,8,10,12, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ = ½ × ৩ × ৪ = ৬ বর্গ সেমি।   A সঠিক।,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,39,একটি সমবাহু ত্রিভুজের ক্ষেত্রফল ৩৬√৩ বর্গ সেমি। বাহুর দৈর্ঘ্য কত সেমি?,6,12,18,24, B,"ক্ষেত্রফল = (√3/4) × বাহু²। তাই, ৩৬√৩ = (√3/4) × বাহু² ⇒ বাহু² = ৩৬√৩ × ৪/√৩ = ১৪৪ ⇒ বাহু = √১৪৪ = ১২ সেমি।   B সঠিক।",3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,40,"একটি ত্রিভুজের তিনটি বাহু ৫ সেমি, ১২ সেমি, এবং ১৩ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",30,36,42,48, A,"হেরনের সূত্র: s = (5+12+13)/2 = ১৫। ক্ষেত্রফল = √[১৫(১৫-৫)(১৫-১২)(১৫-১৩)] = √[১৫×১০×৩×২] = √৯০০ = ৩০ বর্গ সেমি। যাচাই: সমকোণী ত্রিভুজ (৫²+১২²=১৩²), ক্ষেত্রফল = ½ × ৫ × ১২ = ৩০।   A সঠিক।",4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,41,একটি ত্রিভুজের দুটি বাহু ৪ সেমি ও ৫ সেমি এবং তাদের মধ্যবর্তী কোণ ৬০°। ক্ষেত্রফল কত বর্গ সেমি?,5√3,10√3,15√3,20√3, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৪ × ৫ × sin(৬০°) = ½ × ৪ × ৫ × (√3/2) = ১০ × √৩/২ = ৫√৩ বর্গ সেমি।   A সঠিক।,4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,42,একটি ত্রিভুজের ক্ষেত্রফল ৩৫ বর্গ সেমি এবং ভূমি ১৪ সেমি। উচ্চতা কত সেমি?,4,5,6,7, B,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ৩৫ = ½ × ১৪ × উচ্চতা ⇒ ৩৫ = ৭ × উচ্চতা ⇒ উচ্চতা = ৩৫/৭ = ৫ সেমি।   B সঠিক।",4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,43,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(0,0), B(6,0), এবং C(3,4)। ত্রিভুজের ক্ষেত্রফল কত বর্গ একক?",12,14,16,18, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |0(0 - 4) + 6(4 - 0) + 3(0 - 0)| = ½ × |0 + 24 + 0| = ½ × 24 = ১২ বর্গ একক।   A সঠিক।,5
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,44,"একটি ত্রিভুজের তিনটি বাহু ৬ সেমি, ৬ সেমি, এবং ৮ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",16.58,17.89,18.97,19.86, B,হেরনের সূত্র: s = (6+6+8)/2 = ১০। ক্ষেত্রফল = √[১০(১০-৬)(১০-৬)(১০-৮)] = √[১০×৪×৪×২] = √৩২০ = ৮√৫ ≈ ১৭.৮৮৮৫ বর্গ সেমি।   B (১৭.৮৯) সঠিক।,5
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,45,একটি সমকোণী ত্রিভুজের দুটি বাহু ৫ সেমি এবং ১২ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,30,36,48,60, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ = ½ × ৫ × ১২ = ৩০ বর্গ সেমি।   A সঠিক।,5
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,46,একটি ত্রিভুজের দুটি বাহু ৭ সেমি ও ৯ সেমি এবং তাদের মধ্যবর্তী কোণ ৩০°। ক্ষেত্রফল কত বর্গ সেমি?,15.75,31.5,47.25,63, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৭ × ৯ × sin(৩০°) = ½ × ৭ × ৯ × ½ = ৬৩/৪ = ১৫.৭৫ বর্গ সেমি।   A সঠিক।,6
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,47,"একটি ত্রিভুজের তিনটি বাহু ৮ সেমি, ৯ সেমি, এবং ১০ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",34.2,35.5,36.8,38.1, A,হেরনের সূত্র: s = (8+9+10)/2 = ১৩.৫। ক্ষেত্রফল = √[১৩.৫(১৩.৫-৮)(১৩.৫-৯)(১৩.৫-১০)] = √[১৩.৫×৫.৫×৪.৫×৩.৫] = √১১৬৬.৪৫৬২৫ ≈ ৩৪.১৫৮৮ বর্গ সেমি।   A (৩৪.২) সঠিক।,6
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,48,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(2,1), B(6,1), এবং C(4,5)। ক্ষেত্রফল কত বর্গ একক?",8,10,12,14, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |2(1 - 5) + 6(5 - 1) + 4(1 - 1)| = ½ × |-8 + 24 + 0| = ½ × 16 = ৮ বর্গ একক।   A সঠিক।,6
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,49,একটি ত্রিভুজের দুটি বাহু ৬ সেমি ও ১০ সেমি এবং তাদের মধ্যবর্তী কোণ ৪৫°। ক্ষেত্রফল কত বর্গ সেমি?,15,21.21,30,42.43, B,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৬ × ১০ × sin(৪৫°) = ½ × ৬ × ১০ × (√2/2) = ৩০ × √২/২ = ১৫√২ ≈ ২১.২১৩২ বর্গ সেমি।   B (২১.২১) সঠিক।,7
