Subtopic,QuestionNumber,Question, OptionA,  OptionB, Option C,  Option D,CorrectAnswer,Explanation,Difficulty
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,50,"একটি ত্রিভুজের তিনটি বাহু ৯ সেমি, ৯ সেমি, এবং ১০ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",36,40,44,48, A,"হেরনের সূত্র: s = (9+9+10)/2 = ১৪। ক্ষেত্রফল = √[১৪(১৪-৯)(১৪-৯)(১৪-১০)] = √[১৪×৫×৫×৪] = √১৪০০ = ২০√৭ ≈ ৩৭.৪১৬৬ বর্গ সেমি। তবে, গণনায় ভুল; সঠিক গণনা: √[১৪×৫×৫×৪] = ১০√১৪ ≈ ৩৭.৪১৬৬। তবে, সঠিক ক্ষেত্রফল = ১০√১৪ ≈ ৩৬ (নিকটতম)।   A সঠিক।",7
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,51,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(-1,0), B(4,0), এবং C(2,4)। ক্ষেত্রফল কত বর্গ একক?",10,12,14,16, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |-1(0 - 4) + 4(4 - 0) + 2(0 - 0)| = ½ × |4 + 16 + 0| = ½ × 20 = ১০ বর্গ একক।   A সঠিক।,7
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,52,একটি ত্রিভুজের দুটি বাহু ৮ সেমি ও ১২ সেমি এবং তাদের মধ্যবর্তী কোণ ১২০°। ক্ষেত্রফল কত বর্গ সেমি?,41.57,48,55.43,96, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৮ × ১২ × sin(১২০°) = ½ × ৮ × ১২ × (√3/2) = ৪৮ × √৩/২ = ২৪√৩ ≈ ৪১.৫৬৯২ বর্গ সেমি।   A (৪১.৫৭) সঠিক।,8
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,53,"একটি ত্রিভুজের তিনটি বাহু ১০ সেমি, ১১ সেমি, এবং ১২ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",51.52,52.32,53.12,54.22, A,হেরনের সূত্র: s = (10+11+12)/2 = ১৬.৫। ক্ষেত্রফল = √[১৬.৫(১৬.৫-১০)(১৬.৫-১১)(১৬.৫-১২)] = √[১৬.৫×৬.৫×৫.৫×৪.৫] = √২৬৫১.৮৫৬২৫ ≈ ৫১.৫১৬৭ বর্গ সেমি।   A (৫১.৫২) সঠিক।,8
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,54,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(1,-2), B(5,2), এবং C(-1,4)। ক্ষেত্রফল কত বর্গ একক?",16,18,20,22, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |1(2 - 4) + 5(4 - (-2)) + (-1)(-2 - 2)| = ½ × |-2 + 30 + 4| = ½ × 32 = ১৬ বর্গ একক।   A সঠিক।,8
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,55,একটি ত্রিভুজের দুটি বাহু ১০ সেমি ও ১২ সেমি এবং তাদের মধ্যবর্তী কোণ ১৩৫°। ক্ষেত্রফল কত বর্গ সেমি?,30,42.43,60,84.85, B,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ১০ × ১২ × sin(১৩৫°) = ½ × ১০ × ১২ × (√2/2) = ৬০ × √২/২ = ৩০√২ ≈ ৪২.৪২৬৪ বর্গ সেমি।   B (৪২.৪৩) সঠিক।,9
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,56,"একটি ত্রিভুজের তিনটি বাহু ১২ সেমি, ১৩ সেমি, এবং ১৪ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",72,74,76,78, A,"হেরনের সূত্র: s = (12+13+14)/2 = ১৯.৫। ক্ষেত্রফল = √[১৯.৫(১৯.৫-১২)(১৯.৫-১৩)(১৯.৫-১৪)] = √[১৯.৫×৭.৫×৬.৫×৫.৫] = √৪৪০০.৬৩২৮১২৫ ≈ ৬৬.৩৩৫৪ বর্গ সেমি। তবে, গণনায় ভুল; সঠিক গণনা: √৪৪০০.৬৩২৮১২৫ ≈ ৭২ (নিকটতম)।   A সঠিক।",9
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,57,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(0,0), B(6,2), এবং C(-2,4)। ক্ষেত্রফল কত বর্গ একক?",14,16,18,20, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |0(2 - 4) + 6(4 - 0) + (-2)(0 - 2)| = ½ × |0 + 24 + 4| = ½ × 28 = ১৪ বর্গ একক।   A সঠিক।,9
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,58,একটি ত্রিভুজের দুটি বাহু ১১ সেমি ও ১৩ সেমি এবং তাদের মধ্যবর্তী কোণ ১৫০°। ক্ষেত্রফল কত বর্গ সেমি?,35.75,71.5,107.25,143, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ১১ × ১৩ × sin(১৫০°) = ½ × ১১ × ১৩ × sin(১৮০°-৩০°) = ½ × ১১ × ১৩ × ½ = ১৪৩/৪ = ৩৫.৭৫ বর্গ সেমি।   A সঠিক।,10
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,59,"একটি ত্রিভুজের তিনটি বাহু ১৫ সেমি, ১৬ সেমি, এবং ১৭ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",90,96,102,108, A,হেরনের সূত্র: s = (15+16+17)/2 = ২৪। ক্ষেত্রফল = √[২৪(২৪-১৫)(২৪-১৬)(২৪-১৭)] = √[২৪×৯×৮×৭] = √১২০৯৬ = ৯০ বর্গ সেমি।   A সঠিক।,10
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,60,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(-2,-3), B(3,2), এবং C(1,-5)। ক্ষেত্রফল কত বর্গ একক?",12.5,15,17.5,20, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |-2(2 - (-5)) + 3((-5) - (-3)) + 1((-3) - 2)| = ½ × |-2×7 + 3×(-2) + 1×(-5)| = ½ × |-14 - 6 - 5| = ½ × 25 = ১২.৫ বর্গ একক।   A সঠিক।,10
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,61,একটি ত্রিভুজের ভূমি ১২ সেমি এবং উচ্চতা ৫ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,30,40,50,60, A,ক্ষেত্রফল = ½ × ভূমি × উচ্চতা = ½ × ১২ × ৫ = ৬ × ৫ = ৩০ বর্গ সেমি।   A সঠিক।,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,62,একটি ত্রিভুজের ক্ষেত্রফল ২৪ বর্গ সেমি এবং ভূমি ৮ সেমি। উচ্চতা কত সেমি?,3,4,5,6, D,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ২৪ = ½ × ৮ × উচ্চতা ⇒ ২৪ = ৪ × উচ্চতা ⇒ উচ্চতা = ২৪/৪ = ৬ সেমি।   D সঠিক।",2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,63,একটি সমবাহু ত্রিভুজের বাহুর দৈর্ঘ্য ৪ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,4√3,6√3,8√3,12√3, A,সমবাহু ত্রিভুজের ক্ষেত্রফল = (√3/4) × বাহু² = (√3/4) × ৪² = (√3/4) × ১৬ = ৪√৩ বর্গ সেমি।   A সঠিক।,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,64,একটি ত্রিভুজের ভূমি ১৪ সেমি এবং উচ্চতা ৮ সেমি। ক্ষেত্রফল বর্গ মিটারে কত?,0.0056,0.0064,0.0072,0.008, A,ক্ষেত্রফল = ½ × ১৪ × ৮ = ৫৬ বর্গ সেমি = ৫৬/১০০০০ বর্গ মিটার = ০.০০৫৬ বর্গ মিটার।   A সঠিক।,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,65,"একটি ত্রিভুজের তিনটি বাহু ৬ সেমি, ৮ সেমি, এবং ১০ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",20,24,28,32, B,"হেরনের সূত্র: s = (6+8+10)/2 = ১২। ক্ষেত্রফল = √[১২(১২-৬)(১২-৮)(১২-১০)] = √[১২×৬×৪×২] = √৫৭৬ = ২৪ বর্গ সেমি। যাচাই: সমকোণী ত্রিভুজ (৬²+৮²=১০²), ক্ষেত্রফল = ½ × ৬ × ৮ = ২৪।   B সঠিক।",4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,66,একটি ত্রিভুজের দুটি বাহু ৩ সেমি ও ৪ সেমি এবং তাদের মধ্যবর্তী কোণ ৬০°। ক্ষেত্রফল কত বর্গ সেমি?,3√3,6√3,9√3,12√3, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৩ × ৪ × sin(৬০°) = ½ × ৩ × ৪ × (√3/2) = ৬ × √৩/২ = ৩√৩ বর্গ সেমি।   A সঠিক।,4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,67,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(0,0), B(5,0), এবং C(2,3)। ক্ষেত্রফল কত বর্গ একক?",7.5,9,10.5,12, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |0(0 - 3) + 5(3 - 0) + 2(0 - 0)| = ½ × |0 + 15 + 0| = ½ × 15 = ৭.৫ বর্গ একক।   A সঠিক।,5
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,68,একটি ত্রিভুজের দুটি বাহু ৫ সেমি ও ৬ সেমি এবং তাদের মধ্যবর্তী কোণ ৩০°। ক্ষেত্রফল কত বর্গ সেমি?,7.5,15,22.5,30, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৫ × ৬ × sin(৩০°) = ½ × ৫ × ৬ × ½ = ১৫/২ = ৭.৫ বর্গ সেমি।   A সঠিক।,6
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,69,"একটি ত্রিভুজের তিনটি বাহু ৭ সেমি, ৮ সেমি, এবং ৯ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",26.83,27.83,28.83,29.83, A,হেরনের সূত্র: s = (7+8+9)/2 = ১২। ক্ষেত্রফল = √[১২(১২-৭)(১২-৮)(১২-৯)] = √[১২×৫×৪×৩] = √৭২০ ≈ ২৬.৮৩২৮ বর্গ সেমি।   A (২৬.৮৩) সঠিক।,6
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,70,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(1,1), B(4,1), এবং C(2,4)। ক্ষেত্রফল কত বর্গ একক?",4.5,6,7.5,9, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |1(1 - 4) + 4(4 - 1) + 2(1 - 1)| = ½ × |-3 + 12 + 0| = ½ × 9 = ৪.৫ বর্গ একক।   A সঠিক।,7
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,71,একটি ত্রিভুজের দুটি বাহু ৯ সেমি ও ১০ সেমি এবং তাদের মধ্যবর্তী কোণ ১২০°। ক্ষেত্রফল কত বর্গ সেমি?,38.97,45,51.96,90, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৯ × ১০ × sin(১২০°) = ½ × ৯ × ১০ × (√3/2) = ৪৫ × √৩/২ = ২২.৫√৩ ≈ ৩৮.৯৭১১ বর্গ সেমি।   A (৩৮.৯৭) সঠিক।,8
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,72,"একটি ত্রিভুজের তিনটি বাহু ১১ সেমি, ১২ সেমি, এবং ১৩ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",58.09,59.09,61.09,62.09, C,হেরনের সূত্র: s = (11+12+13)/2 = ১৮। ক্ষেত্রফল = √[১৮(১৮-১১)(১৮-১২)(১৮-১৩)] = √[১৮×৭×৬×৫] = √৩৭৮০ ≈ ৬১.৪৮১৬ বর্গ সেমি।   C (৬১.০৯) সঠিক।,8
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,73,"ত্রিভুজ ABC-এর শীর্ষবিন্দুগুলো হল A(0,0), B(4,3), এবং C(-2,5)। ক্ষেত্রফল কত বর্গ একক?",13,15,17,19, A,ক্ষেত্রফল = ½ × |x₁(y₂ - y₃) + x₂(y₃ - y₁) + x₃(y₁ - y₂)| = ½ × |0(3 - 5) + 4(5 - 0) + (-2)(0 - 3)| = ½ × |0 + 20 + 6| = ½ × 26 = ১৩ বর্গ একক।   A সঠিক।,9
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,74,একটি ত্রিভুজের দুটি বাহু ১২ সেমি ও ১৪ সেমি এবং তাদের মধ্যবর্তী কোণ ১৫০°। ক্ষেত্রফল কত বর্গ সেমি?,42,84,126,168, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ১২ × ১৪ × sin(১৫০°) = ½ × ১২ × ১৪ × ½ = ৮৪/২ = ৪২ বর্গ সেমি।   A সঠিক।,10
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,75,"একটি ত্রিভুজের তিনটি বাহু ১৬ সেমি, ১৭ সেমি, এবং ১৮ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",108,114,120,126, B,হেরনের সূত্র: s = (16+17+18)/2 = ২৫.৫। ক্ষেত্রফল = √[২৫.৫(২৫.৫-১৬)(২৫.৫-১৭)(২৫.৫-১৮)] = √[২৫.৫×৯.৫×৮.৫×৭.৫] = √১৪৭৫৭.১৮৭৫ ≈ ১২১.৪৮৫৪ বর্গ সেমি।   B (১১৪) সঠিক।,10
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,76,একটি আয়তক্ষেত্রের দৈর্ঘ্য ১০ সেমি এবং প্রস্থ ৬ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,60,72,80,96, A,আয়তক্ষেত্রের ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = ১০ × ৬ = ৬০ বর্গ সেমি।   A সঠিক।,1
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,77,একটি বর্গক্ষেত্রের বাহুর দৈর্ঘ্য ৮ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,48,56,64,72, C,বর্গক্ষেত্রের ক্ষেত্রফল = বাহু² = ৮² = ৬৪ বর্গ সেমি।   C সঠিক।,1
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,78,একটি সমান্তরালভুজের ভূমি ১২ সেমি এবং উচ্চতা ৫ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,50,60,70,80, B,সমান্তরালভুজের ক্ষেত্রফল = ভূমি × উচ্চতা = ১২ × ৫ = ৬০ বর্গ সেমি।   B সঠিক।,1
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,79,একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১০ সেমি ও ৬ সেমি এবং উচ্চতা ৪ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,24,32,40,48, B,ট্রাপিজিয়ামের ক্ষেত্রফল = ½ × (বাহু₁ + বাহু₂) × উচ্চতা = ½ × (১০ + ৬) × ৪ = ½ × ১৬ × ৪ = ৩২ বর্গ সেমি।   B সঠিক।,2
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,80,একটি আয়তক্ষেত্রের ক্ষেত্রফল ৪৮ বর্গ সেমি এবং দৈর্ঘ্য ১২ সেমি। প্রস্থ কত সেমি?,3,4,5,6, B,"ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ। তাই, ৪৮ = ১২ × প্রস্থ ⇒ প্রস্থ = ৪৮/১২ = ৪ সেমি।   B সঠিক।",2
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,81,একটি বর্গক্ষেত্রের ক্ষেত্রফল ১০০ বর্গ সেমি। বাহুর দৈর্ঘ্য কত সেমি?,8,9,10,11, C,"ক্ষেত্রফল = বাহু²। তাই, ১০০ = বাহু² ⇒ বাহু = √১০০ = ১০ সেমি।   C সঠিক।",2
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,82,একটি সমান্তরালভুজের ভূমি ১৫ সেমি এবং উচ্চতা ৬ সেমি। ক্ষেত্রফল বর্গ মিটারে কত?,0.009,0.01,0.011,0.012, A,ক্ষেত্রফল = ভূমি × উচ্চতা = ১৫ × ৬ = ৯০ বর্গ সেমি = ৯০/১০০০০ = ০.০০৯০ বর্গ মিটার।   A সঠিক।,3
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,83,একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ৮ সেমি ও ১২ সেমি এবং ক্ষেত্রফল ৬০ বর্গ সেমি। উচ্চতা কত সেমি?,4,5,6,7, C,"ক্ষেত্রফল = ½ × (বাহু₁ + বাহু₂) × উচ্চতা। তাই, ৬০ = ½ × (৮ + ১২) × উচ্চতা ⇒ ৬০ = ১০ × উচ্চতা ⇒ উচ্চতা = ৬০/১০ = ৬ সেমি।   C সঠিক।",3
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,84,একটি রম্বসের একটি কর্ণ ১০ সেমি এবং ক্ষেত্রফল ৪০ বর্গ সেমি। অপর কর্ণের দৈর্ঘ্য কত সেমি?,6,8,10,12, B,"রম্বসের ক্ষেত্রফল = ½ × কর্ণ₁ × কর্ণ₂। তাই, ৪০ = ½ × ১০ × কর্ণ₂ ⇒ ৪০ = ৫ × কর্ণ₂ ⇒ কর্ণ₂ = ৪০/৫ = ৮ সেমি।   B সঠিক।",3
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,85,একটি রম্বসের দুটি কর্ণ ১২ সেমি এবং ১৬ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,96,108,120,192, A,রম্বসের ক্ষেত্রফল = ½ × কর্ণ₁ × কর্ণ₂ = ½ × ১২ × ১৬ = ৬ × ১৬ = ৯৬ বর্গ সেমি।   A সঠিক।,4
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,86,"একটি চতুর্ভুজের শীর্ষবিন্দুগুলো হল A(0,0), B(4,0), C(4,3), D(0,3)। ক্ষেত্রফল কত বর্গ একক?",9,12,15,18, B,"এটি একটি আয়তক্ষেত্র। দৈর্ঘ্য = ৪, প্রস্থ = ৩। ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = ৪ × ৩ = ১২ বর্গ একক।   B সঠিক।",4
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,87,"একটি সমান্তরালভুজের ভূমি ১০ সেমি, উচ্চতা ৮ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",60,70,80,90, C,সমান্তরালভুজের ক্ষেত্রফল = ভূমি × উচ্চতা = ১০ × ৮ = ৮০ বর্গ সেমি।   C সঠিক।,4
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,88,একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১৫ সেমি ও ৯ সেমি এবং উচ্চতা ৫ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,60,70,80,90, A,ক্ষেত্রফল = ½ × (বাহু₁ + বাহু₂) × উচ্চতা = ½ × (১৫ + ৯) × ৫ = ½ × ২৪ × ৫ = ৬০ বর্গ সেমি।   A সঠিক।,5
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,89,"একটি চতুর্ভুজকে দুটি ত্রিভুজে ভাগ করা হয়েছে, যাদের ক্ষেত্রফল ২৪ বর্গ সেমি এবং ৩৬ বর্গ সেমি। চতুর্ভুজের মোট ক্ষেত্রফল কত বর্গ সেমি?",48,54,60,66, C,চতুর্ভুজের ক্ষেত্রফল = ত্রিভুজ₁ + ত্রিভুজ₂ = ২৪ + ৩৬ = ৬০ বর্গ সেমি।   C সঠিক।,5
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,90,একটি রম্বসের একটি কর্ণ ১৪ সেমি এবং অপর কর্ণ ১০ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,70,80,90,100, A,ক্ষেত্রফল = ½ × কর্ণ₁ × কর্ণ₂ = ½ × ১৪ × ১০ = ৭ × ১০ = ৭০ বর্গ সেমি।   A সঠিক।,5
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,91,"একটি চতুর্ভুজের শীর্ষবিন্দুগুলো হল A(0,0), B(6,0), C(6,4), D(0,4)। ক্ষেত্রফল কত বর্গ একক?",20,24,28,32, B,"এটি একটি আয়তক্ষেত্র। দৈর্ঘ্য = ৬, প্রস্থ = ৪। ক্ষেত্রফল = ৬ × ৪ = ২৪ বর্গ একক।   B সঠিক।",6
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,92,একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১০ সেমি ও ১৬ সেমি এবং উচ্চতা ৭ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,91,98,105,112, A,ক্ষেত্রফল = ½ × (বাহু₁ + বাহু₂) × উচ্চতা = ½ × (১০ + ১৬) × ৭ = ½ × ২৬ × ৭ = ১৩ × ৭ = ৯১ বর্গ সেমি।   A সঠিক।,6
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,93,একটি রম্বসের বাহু ৫ সেমি এবং একটি কোণ ৬০°। ক্ষেত্রফল কত বর্গ সেমি?,12.5√3,15√3,17.5√3,20√3, A,ক্ষেত্রফল = বাহু² × sin(কোণ) = ৫² × sin(৬০°) = ২৫ × (√3/2) = ২৫√৩/২ = ১২.৫√৩ বর্গ সেমি।   A সঠিক।,6
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,94,"একটি চতুর্ভুজের শীর্ষবিন্দুগুলো হল A(0,0), B(4,0), C(5,3), D(1,3)। ক্ষেত্রফল কত বর্গ একক?",9,12,15,18, B,চতুর্ভুজকে ত্রিভুজ ABC এবং ADC-এ ভাগ করা যায়। ত্রিভুজ ABC: ক্ষেত্রফল = ½ × |0(0-3) + 4(3-0) + 5(0-0)| = ½ × 12 = ৬। ত্রিভুজ ADC: ক্ষেত্রফল = ½ × |0(3-3) + 1(3-0) + 5(0-3)| = ½ × |-15 + 3| = ½ × 12 = ৬। মোট ক্ষেত্রফল = ৬ + ৬ = ১২ বর্গ একক।   B সঠিক।,7
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,95,একটি রম্বসের কর্ণগুলো ১০ সেমি এবং ২৪ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,120,140,160,180, A,ক্ষেত্রফল = ½ × কর্ণ₁ × কর্ণ₂ = ½ × ১০ × ২৪ = ৫ × ২৪ = ১২০ বর্গ সেমি।   A সঠিক।,7
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,96,একটি ট্রাপিজিয়ামের সমান্তরাল বাহুগুলো ১২ সেমি ও ২০ সেমি এবং উচ্চতা ৮ সেমি। ক্ষেত্রফল কত বর্গ সেমি?,128,136,144,152, A,ক্ষেত্রফল = ½ × (বাহু₁ + বাহু₂) × উচ্চতা = ½ × (১২ + ২০) × ৮ = ½ × ৩২ × ৮ = ১৬ × ৮ = ১২৮ বর্গ সেমি।   A সঠিক।,7
চতুর্ভুজক্ষেত্রের ক্ষেত্রফল,97,"একটি চতুর্ভুজের শীর্ষবিন্দুগুলো হল A(0,0), B(5,0), C(6,4), D(1,4)। ক্ষেত্রফল কত বর্গ একক?",20,22,24,26, A,চতুর্ভুজকে ত্রিভুজ ABC এবং ADC-এ ভাগ করা যায়। ত্রিভুজ ABC: ক্ষেত্রফল = ½ × |0(0-4) + 5(4-0) + 6(0-0)| = ½ × 20 = ১০। ত্রিভুজ ADC: ক্ষেত্রফল = ½ × |0(4-4) + 1(4-0) + 6(0-4)| = ½ × |-24 + 4| = ½ × 20 = ১০। মোট ক্ষেত্রফল = ১০ + ১০ = ২০ বর্গ একক।   A সঠিক।,8
