Subtopic,QuestionNumber,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty
Basic Geometric Concepts,7,ইউক্লিডের কোন অ্যাক্সিওম বলে যে পূর্ণ অংশের চেয়ে বড়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,পঞ্চম অ্যাক্সিওম,D,ইউক্লিডের পঞ্চম অ্যাক্সিওম বলে যে পূর্ণ অংশের চেয়ে বড়।,3
Triangle,8,"একটি ত্রিভুজের একটি বাহু বাড়ালে যে বহিঃকোণ তৈরি হয়, তা কীসের সমান?",অভ্যন্তরীণ সংনিকট কোণ,দুটি অভ্যন্তরীণ বিপরীত কোণের সমষ্টি,তিনটি অভ্যন্তরীণ কোণের সমষ্টি,একটি সমকোণ,B,"ত্রিভুজের একটি বাহু বাড়ালে যে বহিঃকোণ তৈরি হয়, তা দুটি অভ্যন্তরীণ বিপরীত কোণের সমষ্টির সমান, যা করোলারি 2 দ্বারা প্রমাণিত।",5
"Line, Ray, Line Segment, Angle, and Parallel Lines",9,দুটি রশ্মি একটি সমতলে মিলিত হলে কী তৈরি হয়?,একটি বিন্দু,একটি সরলরেখা,একটি কোণ,একটি সমতল,C,"দুটি রশ্মি একটি সমতলে মিলিত হলে একটি কোণ তৈরি হয়, যার শীর্ষবিন্দু হয় মিলন বিন্দু।",1
Basic Geometric Concepts,10,ইউক্লিডের কোন পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,D,ইউক্লিডের চতুর্থ পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়।,2
Triangle,11,একটি সমকোণী ত্রিভুজের তীক্ষ্ণ কোণগুলো কীসের পরিপূরক?,একটি সমকোণ,একটি প্রবৃদ্ধ কোণ,একটি সরলকোণ,নিজেদের মধ্যে,D,"একটি সমকোণী ত্রিভুজের তীক্ষ্ণ কোণগুলো নিজেদের মধ্যে পরিপূরক, কারণ তাদের সমষ্টি 90°, যা করোলারি 4 দ্বারা প্রমাণিত।",4
"Line, Ray, Line Segment, Angle, and Parallel Lines",12,দুটি সরলরেখা ছেদ করলে কয়টি জোড়া বিপরীত কোণ তৈরি হয়?,1 জোড়া,2 জোড়া,3 জোড়া,4 জোড়া,B,"দুটি সরলরেখা ছেদ করলে 2 জোড়া বিপরীত কোণ তৈরি হয়, যেমন \(\angle BOD\) এবং \(\angle AOC\), এবং \(\angle BOC\) এবং \(\angle DOA\)।",3
Basic Geometric Concepts,13,ইউক্লিডের কোন অ্যাক্সিওম বলে যে সমানের সাথে সমান যোগ করলে সমষ্টি সমান হয়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,B,ইউক্লিডের দ্বিতীয় অ্যাক্সিওম বলে যে সমানের সাথে সমান যোগ করলে সমষ্টি সমান হয়।,4
Triangle,14,"একটি ত্রিভুজের দুটি বাহু যদি সমান হয়, তবে কোন কোণগুলো সমান হবে?",সমান বাহুগুলোর বিপরীত কোণ,সমান বাহুগুলোর সংনিকট কোণ,তিনটি কোণই,কোনো কোণই নয়,A,"ত্রিভুজের দুটি বাহু সমান হলে সমান বাহুগুলোর বিপরীত কোণগুলো সমান হয়, যা থিওরেম 6 দ্বারা প্রমাণিত।",3
"Line, Ray, Line Segment, Angle, and Parallel Lines",15,একটি সরলকোণের পরিমাপ কত?,90°,180°,270°,360°,B,"একটি সরলকোণের পরিমাপ 180° হয়, কারণ এটি দুটি বিপরীত রশ্মি দ্বারা তৈরি হয়।",2
Basic Geometric Concepts,16,ইউক্লিডের কোন পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,C,ইউক্লিডের তৃতীয় পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়।,1
Triangle,17,একটি সমকোণী ত্রিভুজের কর্ণের উপর বর্গ কীসের সমান?,অন্য দুটি বাহুর উপর বর্গের সমষ্টি,অন্য দুটি বাহুর উপর বর্গের বিয়োগ,অন্য দুটি বাহুর গুণফল,অন্য দুটি বাহুর ভাগফল,A,"পিথাগোরাসের থিওরেম (থিওরেম 15) অনুযায়ী, একটি সমকোণী ত্রিভুজের কর্ণের উপর বর্গ অন্য দুটি বাহুর উপর বর্গের সমষ্টির সমান।",5
"Line, Ray, Line Segment, Angle, and Parallel Lines",18,দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি একই পাশের অভ্যন্তরীণ কোণগুলো কীসের সমান?,একটি সমকোণ,দুটি সমকোণ,তিনটি সমকোণ,চারটি সমকোণ,B,"দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি একই পাশের অভ্যন্তরীণ কোণগুলোর সমষ্টি দুটি সমকোণ বা 180°, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",6
Basic Geometric Concepts,19,ইউক্লিডের কোন অ্যাক্সিওম বলে যে সমান থেকে সমান বিয়োগ করলে বাকি সমান হয়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,C,ইউক্লিডের তৃতীয় অ্যাক্সিওম বলে যে সমান থেকে সমান বিয়োগ করলে বাকি সমান হয়।,3
Triangle,20,একটি ত্রিভুজের যেকোনো দুটি বাহুর সমষ্টি কীসের চেয়ে বড়?,তৃতীয় বাহু,অভ্যন্তরীণ কোণের সমষ্টি,বহিঃকোণ,মধ্যমা,A,"থিওরেম 13 অনুযায়ী, একটি ত্রিভুজের যেকোনো দুটি বাহুর সমষ্টি তৃতীয় বাহুর চেয়ে বড়।",4
"Line, Ray, Line Segment, Angle, and Parallel Lines",21,"দুটি সংনিকট কোণ যদি সমান হয়, তবে প্রতিটি কোণ কত ডিগ্রি?",45°,90°,120°,180°,B,"দুটি সংনিকট কোণ যদি সমান হয় এবং তারা একটি সরলরেখায় থাকে, তবে প্রতিটি কোণ 90°, কারণ তাদের সমষ্টি 180°।",5
Basic Geometric Concepts,22,ইউক্লিডের কোন পোস্টুলেট সরলরেখার সংজ্ঞা দেয় না?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,পঞ্চম পোস্টুলেট,D,"ইউক্লিডের পঞ্চম পোস্টুলেট সমান্তরাল রেখার সাথে সম্পর্কিত, সরলরেখার সংজ্ঞা দেয় না।",4
Triangle,23,"একটি ত্রিভুজের দুটি কোণ সমান হলে, কোন বাহুগুলো সমান হবে?",সমান কোণগুলোর বিপরীত বাহু,সমান কোণগুলোর সংনিকট বাহু,তিনটি বাহুই,কোনো বাহুই নয়,A,"থিওরেম 7 অনুযায়ী, একটি ত্রিভুজের দুটি কোণ সমান হলে সমান কোণগুলোর বিপরীত বাহুগুলো সমান হবে।",6
"Line, Ray, Line Segment, Angle, and Parallel Lines",24,একটি তীক্ষ্ণ কোণের পরিমাপ কত হতে পারে?,90° এর বেশি,90° এর কম,180° এর বেশি,270° এর বেশি,B,"একটি তীক্ষ্ণ কোণের পরিমাপ 90° এর কম হয়, কারণ এটি সমকোণের চেয়ে ছোট।",1
Basic Geometric Concepts,25,ইউক্লিডের কোন অ্যাক্সিওম বলে যে একই জিনিসের সমান জিনিসগুলো নিজেদের মধ্যে সমান?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,A,ইউক্লিডের প্রথম অ্যাক্সিওম বলে যে একই জিনিসের সমান জিনিসগুলো নিজেদের মধ্যে সমান।,5
Triangle,26,একটি ত্রিভুজের যেকোনো দুটি বাহুর পার্থক্য কীসের চেয়ে ছোট?,তৃতীয় বাহু,অভ্যন্তরীণ কোণের সমষ্টি,বহিঃকোণ,মধ্যমা,A,"করোলারি 5 অনুযায়ী, একটি ত্রিভুজের যেকোনো দুটি বাহুর পার্থক্য তৃতীয় বাহুর চেয়ে ছোট।",7
"Line, Ray, Line Segment, Angle, and Parallel Lines",27,একটি প্রবৃদ্ধ কোণের পরিমাপ কত হতে পারে?,90° এর কম,90° এর বেশি কিন্তু 180° এর কম,180° এর বেশি কিন্তু 360° এর কম,360° এর বেশি,C,একটি প্রবৃদ্ধ কোণের পরিমাপ 180° এর বেশি কিন্তু 360° এর কম হয়।,2
Basic Geometric Concepts,28,ইউক্লিডের কোন পোস্টুলেট সমান্তরাল রেখার সাথে সম্পর্কিত?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,পঞ্চম পোস্টুলেট,D,"ইউক্লিডের পঞ্চম পোস্টুলেট সমান্তরাল রেখার সাথে সম্পর্কিত, যা ট্রান্সভার্সাল দ্বারা তৈরি কোণের সমষ্টি বর্ণনা করে।",6
Triangle,29,একটি সমবাহু ত্রিভুজের তিনটি বাহু কত ডিগ্রি?,সমান,অসমান,দুটি সমান,কোনোটিই নয়,A,"একটি সমবাহু ত্রিভুজের তিনটি বাহু সমান হয়, যেমনটি সংজ্ঞায় বর্ণিত।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",30,"দুটি কোণের সমষ্টি যদি 2 সমকোণ হয়, তবে তারা কী বলা হয়?",পরিপূরক কোণ,পরিপূরণ কোণ,বিপরীত কোণ,সংনিকট কোণ,B,দুটি কোণের সমষ্টি 2 সমকোণ বা 180° হলে তারা পরিপূরণ কোণ বলা হয়।,3
Basic Geometric Concepts,31,ইউক্লিডের কোন অ্যাক্সিওম বলে যে একই জিনিসের উপর অবস্থিত জিনিসগুলো সমান?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,D,ইউক্লিডের চতুর্থ অ্যাক্সিওম বলে যে একই জিনিসের উপর অবস্থিত জিনিসগুলো সমান।,7
Triangle,32,"একটি ত্রিভুজের দুটি কোণ যদি 50° এবং 60° হয়, তবে তৃতীয় কোণ কত?",70°,80°,90°,100°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (50° + 60°) = 70°।",2
"Line, Ray, Line Segment, Angle, and Parallel Lines",33,"দুটি কোণের সমষ্টি যদি 1 সমকোণ হয়, তবে তারা কী বলা হয়?",পরিপূরক কোণ,পরিপূরণ কোণ,বিপরীত কোণ,সংনিকট কোণ,A,দুটি কোণের সমষ্টি 1 সমকোণ বা 90° হলে তারা পরিপূরক কোণ বলা হয়।,4
Basic Geometric Concepts,34,ইউক্লিডের কোন পোস্টুলেট বলে যে দুটি বিন্দুর মধ্যে একটি সরলরেখা টানা যায়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,A,ইউক্লিডের প্রথম পোস্টুলেট বলে যে যেকোনো দুটি বিন্দুর মধ্যে একটি সরলরেখা টানা যায়।,1
Triangle,35,"একটি ত্রিভুজের একটি কোণ 90° হলে, ত্রিভুজটি কী ধরনের?",তীক্ষ্ণকোণী,সমকোণী,প্রবৃদ্ধকোণী,সমবাহু,B,"একটি ত্রিভুজের একটি কোণ 90° হলে ত্রিভুজটি সমকোণী হয়, যেমনটি সংজ্ঞায় বর্ণিত।",3
"Line, Ray, Line Segment, Angle, and Parallel Lines",36,দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি পর্যায়ী কোণগুলো কী?,সমান,অসমান,পরিপূরক,পরিপূরণ,A,"দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি পর্যায়ী কোণগুলো সমান হয়, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",5
Basic Geometric Concepts,37,ইউক্লিডের কোন অ্যাক্সিওম বলে যে সমানের সাথে সমান যোগ করলে সমষ্টি সমান হয়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,B,ইউক্লিডের দ্বিতীয় অ্যাক্সিওম বলে যে সমানের সাথে সমান যোগ করলে সমষ্টি সমান হয়।,2
Triangle,38,"একটি ত্রিভুজের একটি কোণ 120° হলে, ত্রিভুজটি কী ধরনের?",তীক্ষ্ণকোণী,সমকোণী,প্রবৃদ্ধকোণী,সমবাহু,C,"একটি ত্রিভুজের একটি কোণ 120° হলে ত্রিভুজটি প্রবৃদ্ধকোণী হয়, কারণ একটি কোণ 90° এর চেয়ে বড়।",4
"Line, Ray, Line Segment, Angle, and Parallel Lines",39,একটি রিফ্লেক্স কোণের পরিমাপ কত হতে পারে?,90° এর কম,90° এর বেশি কিন্তু 180° এর কম,180° এর বেশি কিন্তু 360° এর কম,360° এর বেশি,C,একটি রিফ্লেক্স কোণের পরিমাপ 180° এর বেশি কিন্তু 360° এর কম হয়।,6
Basic Geometric Concepts,40,ইউক্লিডের কোন পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,D,ইউক্লিডের চতুর্থ পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়।,1
Triangle,41,একটি ত্রিভুজের তিনটি বাহু সমান হলে ত্রিভুজটি কী ধরনের?,সমবাহু,সমদ্বিবাহু,অসমবাহু,সমকোণী,A,"একটি ত্রিভুজের তিনটি বাহু সমান হলে ত্রিভুজটি সমবাহু হয়, যেমনটি সংজ্ঞায় বর্ণিত।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",42,দুটি সরলরেখা সমান্তরাল হলে তাদের মধ্যে দূরত্ব কী হয়?,সর্বদা পরিবর্তনশীল,সর্বদা সমান,কখনো সমান নয়,শূন্য,B,"দুটি সমান্তরাল রেখার মধ্যে দূরত্ব সর্বদা সমান হয়, যেমনটি সমান্তরাল রেখার সংজ্ঞায় বর্ণিত।",7
Basic Geometric Concepts,43,ইউক্লিডের কোন অ্যাক্সিওম বলে যে সমান থেকে সমান বিয়োগ করলে বাকি সমান হয়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,C,ইউক্লিডের তৃতীয় অ্যাক্সিওম বলে যে সমান থেকে সমান বিয়োগ করলে বাকি সমান হয়।,2
Triangle,44,"একটি ত্রিভুজের একটি কোণ 90° এর কম হলে, ত্রিভুজটি কী ধরনের?",তীক্ষ্ণকোণী,সমকোণী,প্রবৃদ্ধকোণী,সমবাহু,A,"একটি ত্রিভুজের তিনটি কোণই 90° এর কম হলে ত্রিভুজটি তীক্ষ্ণকোণী হয়, যেমনটি সংজ্ঞায় বর্ণিত।",2
"Line, Ray, Line Segment, Angle, and Parallel Lines",45,"দুটি কোণ যদি একই শীর্ষবিন্দু এবং একটি সাধারণ বাহু থাকে এবং বিপরীত দিকে থাকে, তবে তারা কী বলা হয়?",পরিপূরক কোণ,পরিপূরণ কোণ,বিপরীত কোণ,সংনিকট কোণ,D,"দুটি কোণ যদি একই শীর্ষবিন্দু এবং একটি সাধারণ বাহু থাকে এবং বিপরীত দিকে থাকে, তবে তারা সংনিকট কোণ বলা হয়।",3
Basic Geometric Concepts,46,ইউক্লিডের কোন পোস্টুলেট বলে যে সমান্তরাল রেখার মধ্যে কোণের সমষ্টি দুই সমকোণের কম হলে তারা ছেদ করবে?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,পঞ্চম পোস্টুলেট,D,ইউক্লিডের পঞ্চম পোস্টুলেট বলে যে সমান্তরাল রেখার মধ্যে কোণের সমষ্টি দুই সমকোণের কম হলে তারা ছেদ করবে।,3
Triangle,47,"একটি ত্রিভুজের দুটি বাহু যদি সমান হয়, ত্রিভুজটি কী ধরনের?",সমবাহু,সমদ্বিবাহু,অসমবাহু,সমকোণী,B,"একটি ত্রিভুজের দুটি বাহু সমান হলে ত্রিভুজটি সমদ্বিবাহু হয়, যেমনটি সংজ্ঞায় বর্ণিত।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",48,দুটি সরলরেখা ছেদ করলে তৈরি সংনিকট কোণগুলোর সমষ্টি কত?,1 সমকোণ,2 সমকোণ,3 সমকোণ,4 সমকোণ,B,"দুটি সরলরেখা ছেদ করলে তৈরি সংনিকট কোণগুলোর সমষ্টি 2 সমকোণ বা 180°, যা থিওরেম 1 দ্বারা প্রমাণিত।",4
Basic Geometric Concepts,49,ইউক্লিডের কোন অ্যাক্সিওম বলে যে একই জিনিসের উপর অবস্থিত জিনিসগুলো সমান?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,D,ইউক্লিডের চতুর্থ অ্যাক্সিওম বলে যে একই জিনিসের উপর অবস্থিত জিনিসগুলো সমান।,4
Triangle,50,একটি ত্রিভুজের তিনটি বাহু অসমান হলে ত্রিভুজটি কী ধরনের?,সমবাহু,সমদ্বিবাহু,অসমবাহু,সমকোণী,C,"একটি ত্রিভুজের তিনটি বাহু অসমান হলে ত্রিভুজটি অসমবাহু হয়, যেমনটি সংজ্ঞায় বর্ণিত।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",51,দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি পর্যায়ী কোণগুলো কী?,সমান,অসমান,পরিপূরক,পরিপূরণ,A,"দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি পর্যায়ী কোণগুলো সমান হয়, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",5
Basic Geometric Concepts,52,ইউক্লিডের কোন পোস্টুলেট বলে যে যেকোনো দুটি বিন্দুর মধ্যে একটি সরলরেখা টানা যায়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,A,ইউক্লিডের প্রথম পোস্টুলেট বলে যে যেকোনো দুটি বিন্দুর মধ্যে একটি সরলরেখা টানা যায়।,1
Triangle,53,"একটি ত্রিভুজের একটি বাহু বাড়ালে যে বহিঃকোণ তৈরি হয়, তা কোন কোণের চেয়ে বড়?",সংনিকট অভ্যন্তরীণ কোণ,দুটি অভ্যন্তরীণ বিপরীত কোণ,তিনটি অভ্যন্তরীণ কোণের সমষ্টি,একটি সমকোণ,B,"করোলারি 3 অনুযায়ী, একটি ত্রিভুজের বহিঃকোণ দুটি অভ্যন্তরীণ বিপরীত কোণের চেয়ে বড়।",6
"Line, Ray, Line Segment, Angle, and Parallel Lines",54,"দুটি কোণ যদি একই শীর্ষবিন্দু এবং একটি সাধারণ বাহু থাকে এবং বিপরীত দিকে থাকে, তবে তারা কী বলা হয়?",পরিপূরক কোণ,পরিপূরণ কোণ,বিপরীত কোণ,সংনিকট কোণ,D,"দুটি কোণ যদি একই শীর্ষবিন্দু এবং একটি সাধারণ বাহু থাকে এবং বিপরীত দিকে থাকে, তবে তারা সংনিকট কোণ বলা হয়।",2
Basic Geometric Concepts,55,ইউক্লিডের কোন পোস্টুলেট বলে যে সমান্তরাল রেখার মধ্যে কোণের সমষ্টি দুই সমকোণের কম হলে তারা ছেদ করবে?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,পঞ্চম পোস্টুলেট,D,ইউক্লিডের পঞ্চম পোস্টুলেট বলে যে সমান্তরাল রেখার মধ্যে কোণের সমষ্টি দুই সমকোণের কম হলে তারা ছেদ করবে।,3
Triangle,56,"একটি ত্রিভুজের দুটি বাহু যদি 5 cm এবং 7 cm হয়, তৃতীয় বাহুর দৈর্ঘ্য কত হতে পারে?",1 cm,2 cm,3 cm,10 cm,D,"থিওরেম 13 এবং করোলারি 5 অনুযায়ী, তৃতীয় বাহুর দৈর্ঘ্য 7-5 = 2 cm এর চেয়ে বড় এবং 5+7 = 12 cm এর চেয়ে ছোট হতে হবে, তাই 10 cm সম্ভব।",8
"Line, Ray, Line Segment, Angle, and Parallel Lines",57,দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি একই পাশের অভ্যন্তরীণ কোণগুলোর সমষ্টি কত?,90°,180°,270°,360°,B,"দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি একই পাশের অভ্যন্তরীণ কোণগুলোর সমষ্টি 180°, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",4
Basic Geometric Concepts,58,ইউক্লিডের কোন অ্যাক্সিওম বলে যে সমান থেকে সমান বিয়োগ করলে বাকি সমান হয়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,C,ইউক্লিডের তৃতীয় অ্যাক্সিওম বলে যে সমান থেকে সমান বিয়োগ করলে বাকি সমান হয়।,2
Triangle,59,"একটি ত্রিভুজের দুটি কোণ যদি 40° এবং 70° হয়, তবে তৃতীয় কোণ কত?",70°,80°,90°,100°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (40° + 70°) = 70°।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",60,দুটি সরলরেখা ছেদ করলে তৈরি সংনিকট কোণগুলোর সমষ্টি কত?,1 সমকোণ,2 সমকোণ,3 সমকোণ,4 সমকোণ,B,"দুটি সরলরেখা ছেদ করলে তৈরি সংনিকট কোণগুলোর সমষ্টি 2 সমকোণ বা 180°, যা থিওরেম 1 দ্বারা প্রমাণিত।",3
Basic Geometric Concepts,61,ইউক্লিডের কোন পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,C,ইউক্লিডের তৃতীয় পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়।,1
Triangle,62,"একটি ত্রিভুজের একটি কোণ 90° এবং অন্য দুটি কোণ 45° হলে, ত্রিভুজটি কী ধরনের?",সমবাহু,সমদ্বিবাহু,অসমবাহু,সমকোণী,D,"একটি ত্রিভুজের একটি কোণ 90° হলে ত্রিভুজটি সমকোণী হয়, এবং এখানে অন্য দুটি কোণ সমান হওয়ায় এটি সমদ্বিবাহুও।",2
"Line, Ray, Line Segment, Angle, and Parallel Lines",63,দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি অনুরূপ কোণগুলো কী?,সমান,অসমান,পরিপূরক,পরিপূরণ,A,"দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি অনুরূপ কোণগুলো সমান হয়, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",4
Basic Geometric Concepts,64,ইউক্লিডের কোন অ্যাক্সিওম বলে যে একই জিনিসের সমান জিনিসগুলো নিজেদের মধ্যে সমান?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,চতুর্থ অ্যাক্সিওম,A,ইউক্লিডের প্রথম অ্যাক্সিওম বলে যে একই জিনিসের সমান জিনিসগুলো নিজেদের মধ্যে সমান।,1
Triangle,65,"একটি ত্রিভুজের দুটি কোণ যদি 60° এবং 70° হয়, তবে তৃতীয় কোণ কত?",50°,60°,70°,80°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (60° + 70°) = 50°।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",66,দুটি সরলরেখা ছেদ করলে তৈরি বিপরীত কোণগুলো কী?,সমান,অসমান,পরিপূরক,পরিপূরণ,A,"দুটি সরলরেখা ছেদ করলে তৈরি বিপরীত কোণগুলো সমান হয়, যা থিওরেম 2 দ্বারা প্রমাণিত।",2
Basic Geometric Concepts,67,ইউক্লিডের কোন পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,D,ইউক্লিডের চতুর্থ পোস্টুলেট বলে যে সমকোণ সব সময় সমান হয়।,1
Triangle,68,"একটি ত্রিভুজের দুটি কোণ যদি 30° এবং 60° হয়, তবে তৃতীয় কোণ কত?",90°,100°,110°,120°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (30° + 60°) = 90°।",1
"Line, Ray, Line Segment, Angle, and Parallel Lines",69,দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি একই পাশের অভ্যন্তরীণ কোণগুলোর সমষ্টি কত?,90°,180°,270°,360°,B,"দুটি সমান্তরাল রেখার ট্রান্সভার্সাল দ্বারা তৈরি একই পাশের অভ্যন্তরীণ কোণগুলোর সমষ্টি 180°, যা ইউক্লিডের পঞ্চম পোস্টুলেটের সমতুল্য।",5
Triangle,70,"একটি ত্রিভুজের দুটি কোণ যদি 50° এবং 70° হয়, তৃতীয় কোণ কত?",60°,70°,80°,90°,A,"ত্রিভুজের তিনটি কোণের সমষ্টি 180°, তাই তৃতীয় কোণ = 180° - (50° + 70°) = 60°।",1
Basic Geometric Concepts,71,ইউক্লিডের কোন অ্যাক্সিওম বলে যে পূর্ণ অংশের চেয়ে বড়?,প্রথম অ্যাক্সিওম,দ্বিতীয় অ্যাক্সিওম,তৃতীয় অ্যাক্সিওম,পঞ্চম অ্যাক্সিওম,D,ইউক্লিডের পঞ্চম অ্যাক্সিওম বলে যে পূর্ণ অংশের চেয়ে বড়।,3
"Line, Ray, Line Segment, Angle, and Parallel Lines",72,দুটি সরলরেখা ছেদ করলে তৈরি বিপরীত কোণগুলো কী?,সমান,অসমান,পরিপূরক,পরিপূরণ,A,"দুটি সরলরেখা ছেদ করলে তৈরি বিপরীত কোণগুলো সমান হয়, যা থিওরেম 2 দ্বারা প্রমাণিত।",2
Triangle,73,"একটি ত্রিভুজের একটি কোণ 90° এবং অন্য দুটি কোণ 45° হলে, ত্রিভুজটি কী ধরনের?",সমবাহু,সমদ্বিবাহু,অসমবাহু,সমকোণী,D,"একটি ত্রিভুজের একটি কোণ 90° হলে ত্রিভুজটি সমকোণী হয়, এবং এখানে অন্য দুটি কোণ সমান হওয়ায় এটি সমদ্বিবাহুও।",4
Basic Geometric Concepts,74,ইউক্লিডের কোন পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়?,প্রথম পোস্টুলেট,দ্বিতীয় পোস্টুলেট,তৃতীয় পোস্টুলেট,চতুর্থ পোস্টুলেট,C,ইউক্লিডের তৃতীয় পোস্টুলেট বলে যে যেকোনো কেন্দ্র এবং ব্যাসার্ধ দিয়ে একটি বৃত্ত আঁকা যায়।,1
"Line, Ray, Line Segment, Angle, and Parallel Lines",75,একটি রশ্মির কতটি প্রান্তবিন্দু থাকে?,শূন্য,একটি,দুটি,অসীম,B,"একটি রশ্মির একটি প্রান্তবিন্দু থাকে, যেখান থেকে এটি শুরু হয় এবং অন্য দিকে অসীম পর্যন্ত বিস্তৃত হয়।",3
